"specification","sample_variant","lambda","lambda_se","lambda_signed_correctly","lambda_sign_stable_across_samples"
"Spec1_LogNetWorth","full",-0.0393125109107874,0.043344770124602,TRUE,TRUE
"Spec2_LogNetWorth_CCI","full",-0.0389248735613458,0.0436283969545615,TRUE,TRUE
"Spec3_LevelNetWorth","full",-0.04110212828619,0.0433513968097015,TRUE,TRUE
"Spec4_Disagg_NoCCI","full",-0.125003654850086,0.0471250103919587,TRUE,TRUE
"Spec5_FullDisagg","full",-0.141240659950248,0.0476241127460793,TRUE,TRUE
"Spec6_Preferred","full",-0.139898254449268,0.0484720027888977,TRUE,TRUE
"Spec1_LogNetWorth","precovid",0.0592375546139851,0.0205516887100966,FALSE,TRUE
"Spec2_LogNetWorth_CCI","precovid",0.0593691463141327,0.0205369612033795,FALSE,TRUE
"Spec3_LevelNetWorth","precovid",0.0587678984172875,0.0205533648466622,FALSE,TRUE
"Spec4_Disagg_NoCCI","precovid",-0.055963723845239,0.0331443796004569,TRUE,TRUE
"Spec5_FullDisagg","precovid",-0.0523476194436804,0.0368922752205607,TRUE,TRUE
"Spec6_Preferred","precovid",-0.0403487488850463,0.037434420140098,TRUE,TRUE
"Spec1_LogNetWorth","covid_dropped",0.0234930746073428,0.0301861372082078,FALSE,TRUE
"Spec2_LogNetWorth_CCI","covid_dropped",0.0240477136328342,0.0300706014338233,FALSE,TRUE
"Spec3_LevelNetWorth","covid_dropped",0.0217127900889663,0.0305188123433464,FALSE,TRUE
"Spec4_Disagg_NoCCI","covid_dropped",-0.0854560294396066,0.0256078106171613,TRUE,TRUE
"Spec5_FullDisagg","covid_dropped",-0.0806240766597889,0.0272354051933672,TRUE,TRUE
"Spec6_Preferred","covid_dropped",-0.0755909610277504,0.0277379624314498,TRUE,TRUE
"Spec1_LogNetWorth","covid_rich",0.0234930746073429,0.0319827162680928,FALSE,TRUE
"Spec2_LogNetWorth_CCI","covid_rich",0.0240477136328342,0.0318579267626431,FALSE,TRUE
"Spec3_LevelNetWorth","covid_rich",0.0217127900889663,0.0323181200292195,FALSE,TRUE
"Spec4_Disagg_NoCCI","covid_rich",-0.0854560294396069,0.027012780311031,TRUE,TRUE
"Spec5_FullDisagg","covid_rich",-0.0806240766597893,0.0283914730317469,TRUE,TRUE
"Spec6_Preferred","covid_rich",-0.0755909610277506,0.0290068161768315,TRUE,TRUE
