,ph_long
9/1/1959,0.02787300013
12/01/1959,0.02776909992
3/1/1960,0.02765000053
06/01/1960,0.02751800045
9/1/1960,0.02763490006
12/01/1960,0.02776639909
3/1/1961,0.0279303994
06/01/1961,0.02811920084
9/1/1961,0.02856840007
12/01/1961,0.02902190015
3/1/1962,0.02946569957
06/01/1962,0.02988610044
9/1/1962,0.02989860065
12/01/1962,0.02990509942
3/1/1963,0.02990180068
06/01/1963,0.02990240045
9/1/1963,0.0306561999
12/01/1963,0.03138570115
3/1/1964,0.03208110109
06/01/1964,0.03275059909
9/1/1964,0.03299570084
12/01/1964,0.03323600069
3/1/1965,0.03345679864
06/01/1965,0.0336706005
9/1/1965,0.03397199884
12/01/1965,0.03428420052
3/1/1966,0.03460080177
06/01/1966,0.03468310088
9/1/1966,0.03461160138
12/01/1966,0.0345348008
3/1/1967,0.03446720168
06/01/1967,0.03438650072
9/1/1967,0.03476259857
12/01/1967,0.03512410074
3/1/1968,0.03548939899
06/01/1968,0.03583789989
9/1/1968,0.03644130006
12/01/1968,0.03703070059
3/1/1969,0.03760270029
06/01/1969,0.03816439956
9/1/1969,0.03914770111
12/01/1969,0.0401218012
3/1/1970,0.04092900082
06/01/1970,0.04158600047
9/1/1970,0.04257139936
12/01/1970,0.04379779845
3/1/1971,0.04487080127
06/01/1971,0.04581249878
9/1/1971,0.04714829847
12/01/1971,0.04857169837
3/1/1972,0.04929440096
06/01/1972,0.05014840141
9/1/1972,0.05133099854
12/01/1972,0.05409020185
3/1/1973,0.05529469997
06/01/1973,0.05846999958
9/1/1973,0.06357239932
12/01/1973,0.06808359921
3/1/1974,0.07272619754
06/01/1974,0.07548540086
9/1/1974,0.07612050325
12/01/1974,0.07883600146
3/1/1975,0.08089450002
06/01/1975,0.08380699903
9/1/1975,0.08689480275
12/01/1975,0.08871240169
3/1/1976,0.09236949682
06/01/1976,0.09506300092
9/1/1976,0.09444990009
12/01/1976,0.09812889993
3/1/1977,0.1003845036
06/01/1977,0.1017203033
9/1/1977,0.1015670002
12/01/1977,0.1032970026
3/1/1978,0.1050489023
06/01/1978,0.1041949019
9/1/1978,0.1039758995
12/01/1978,0.106122002
3/1/1979,0.1071731001
06/01/1979,0.1080491021
9/1/1979,0.1102171019
12/01/1979,0.1147938967
3/1/1980,0.1172028035
06/01/1980,0.1214730963
9/1/1980,0.1244075
12/01/1980,0.1230498031
3/1/1981,0.1334518045
06/01/1981,0.1385761052
9/1/1981,0.1394083053
12/01/1981,0.1443354934
3/1/1982,0.1450801045
06/01/1982,0.1480364054
9/1/1982,0.1462845057
12/01/1982,0.1478831023
3/1/1983,0.1495915055
06/01/1983,0.1542997956
9/1/1983,0.1532279998
12/01/1983,0.1568123996
3/1/1984,0.1616442055
06/01/1984,0.1654555947
9/1/1984,0.1754667014
12/01/1984,0.1756438017
3/1/1985,0.1839544028
06/01/1985,0.190952301
9/1/1985,0.190082103
12/01/1985,0.1942795068
3/1/1986,0.1953856945
06/01/1986,0.1969520003
9/1/1986,0.1956941038
12/01/1986,0.1982140988
3/1/1987,0.2021118999
06/01/1987,0.2042901963
9/1/1987,0.2079094946
12/01/1987,0.2157144994
3/1/1988,0.2199169993
06/01/1988,0.2272363007
9/1/1988,0.2520627081
12/01/1988,0.2684693038
3/1/1989,0.2779144943
06/01/1989,0.2836019099
9/1/1989,0.2873345912
12/01/1989,0.2890075147
3/1/1990,0.2929649055
06/01/1990,0.2966117859
9/1/1990,0.2940585911
12/01/1990,0.2938193083
3/1/1991,0.2983351946
06/01/1991,0.299290508
9/1/1991,0.3045974076
12/01/1991,0.3054234982
3/1/1992,0.2997502983
06/01/1992,0.303283304
9/1/1992,0.304864198
12/01/1992,0.3062373102
3/1/1993,0.3020311892
06/01/1993,0.3056961894
9/1/1993,0.3071154952
12/01/1993,0.3132269084
3/1/1994,0.3218277991
06/01/1994,0.3230862021
9/1/1994,0.327327311
12/01/1994,0.328291893
3/1/1995,0.3252643943
06/01/1995,0.3271920979
9/1/1995,0.322524786
12/01/1995,0.320320189
3/1/1996,0.3235827982
06/01/1996,0.3299741149
9/1/1996,0.3313677013
12/01/1996,0.3471002877
3/1/1997,0.3493804932
06/01/1997,0.3593431115
9/1/1997,0.3692426085
12/01/1997,0.3625687957
3/1/1998,0.3621467054
06/01/1998,0.3681184947
9/1/1998,0.3736495972
12/01/1998,0.3755759001
3/1/1999,0.3891542852
06/01/1999,0.3896003067
9/1/1999,0.4050253928
12/01/1999,0.4198001921
3/1/2000,0.4181013107
06/01/2000,0.4193466008
9/1/2000,0.4216581881
12/01/2000,0.4247485101
3/1/2001,0.4447557926
06/01/2001,0.4567022026
9/1/2001,0.4816193879
12/01/2001,0.4843308926
3/1/2002,0.4955748916
06/01/2002,0.5185101032
9/1/2002,0.5447164774
12/01/2002,0.5457677841
3/1/2003,0.5628662705
06/01/2003,0.5886433125
9/1/2003,0.6135498285
12/01/2003,0.6318843961
3/1/2004,0.6401823759
06/01/2004,0.6420904994
9/1/2004,0.6521645784
12/01/2004,0.662627697
3/1/2005,0.6668186784
06/01/2005,0.6677764058
9/1/2005,0.6704021096
12/01/2005,0.6816257834
3/1/2006,0.7002903819
06/01/2006,0.7188391089
9/1/2006,0.7299692035
12/01/2006,0.7469329238
3/1/2007,0.7662206888
06/01/2007,0.7855461836
9/1/2007,0.8155621886
12/01/2007,0.8326910734
3/1/2008,0.8233163953
06/01/2008,0.8066818118
9/1/2008,0.7875618935
12/01/2008,0.7366837263
3/1/2009,0.7363080978
06/01/2009,0.7659552097
9/1/2009,0.8091681004
12/01/2009,0.8666949868
3/1/2010,0.9032256007
06/01/2010,0.8926929235
9/1/2010,0.8916419148
12/01/2010,0.8923383951
3/1/2011,0.8848332167
06/01/2011,0.8825495839
9/1/2011,0.8518980742
12/01/2011,0.8448156714
3/1/2012,0.846578598
06/01/2012,0.8492984176
9/1/2012,0.8431338072
12/01/2012,0.8612120748
3/1/2013,0.868879199
06/01/2013,0.881161809
9/1/2013,0.8942738771
12/01/2013,0.9247313738
3/1/2014,0.9353585243
06/01/2014,0.9493131042
9/1/2014,0.9608116746
12/01/2014,0.9884672165
3/1/2015,1.006643057
06/01/2015,1.044078112
9/1/2015,1.063374758
12/01/2015,1.065647125
3/1/2016,1.060225725
06/01/2016,1.078370452
9/1/2016,1.094437718
12/01/2016,1.134868383
3/1/2017,1.155259252
06/01/2017,1.179976225
9/1/2017,1.175674558
12/01/2017,1.186976552
3/1/2018,1.17676425
06/01/2018,1.164991975
