DATE,compensation_of_employees,prop_inc_rec,social_assisatance_ben,prop_inc_pay,gos_dwellings,gross_mixed_income,income_tax_payable,total_income_rec,total_income_pay,wage_share_incoem
Sep-59,1856,255,152,67,89,999,216,3460,357,49.7
Dec-59,1893,255,157,68,90,987,215,3494,361,49.9
Mar-60,1968,251,153,70,90,959,219,3538,367,50.9
Jun-60,2028,264,159,73,103,1014,230,3687,384,50.9
Sep-60,2081,266,163,75,107,949,254,3688,409,51.3
Dec-60,2113,279,167,79,108,973,258,3765,419,51.8
Mar-61,2095,282,170,82,111,1031,250,3819,415,51.6
Jun-61,2097,293,182,83,113,996,271,3810,441,52.6
Sep-61,2124,303,188,78,119,951,278,3813,455,52.9
Dec-61,2132,313,189,83,123,933,270,3821,454,52.6
Mar-62,2192,320,197,83,126,935,273,3901,461,52.2
Jun-62,2242,326,195,87,134,983,266,4015,458,51.8
Sep-62,2231,323,193,85,137,997,253,4020,446,51.6
Dec-62,2257,322,198,89,142,1027,258,4087,456,51.3
Mar-63,2330,332,202,92,149,1015,278,4170,484,51.5
Jun-63,2357,331,200,93,150,1053,284,4239,493,51.7
Sep-63,2421,352,208,97,153,1157,283,4442,498,50.1
Dec-63,2508,361,215,97,158,1145,308,4543,526,51.0
Mar-64,2514,374,210,100,160,1160,318,4576,543,50.5
Jun-64,2592,374,242,100,168,1152,341,4693,571,51.0
Sep-64,2679,380,221,108,172,1169,342,4786,582,51.4
Dec-64,2807,391,232,110,174,1146,380,4919,627,52.6
Mar-65,2846,401,227,108,175,1208,406,5030,653,52.2
Jun-65,2922,393,232,114,180,1161,416,5064,674,52.5
Sep-65,2992,409,236,112,185,1127,441,5128,700,53.8
Dec-65,3000,414,239,118,189,1126,432,5147,702,54.0
Mar-66,3101,412,244,116,196,1123,431,5261,701,54.9
Jun-66,3141,437,248,123,191,1176,442,5380,723,54.2
Sep-66,3222,451,254,120,203,1244,451,5565,731,53.9
Dec-66,3292,475,253,124,214,1294,486,5724,774,53.3
Mar-67,3375,477,270,128,225,1366,478,5912,775,52.6
Jun-67,3461,468,267,135,228,1328,503,5956,813,53.5
Sep-67,3552,499,264,137,237,1278,526,6036,844,54.3
