,pop_total,pop_15_64,labour_force,unemployed,,
Sep-1964,7832.4,,4612.7,74.0,,
Dec-1964,7885.2,,4648.0,68.2,,
Mar-1965,7943.4,,4695.3,69.4,,
Jun-1965,7993.1,,4737.1,71.0,,
Sep-1965,8034.5,7063.5,4770.9,76.4,,
Dec-1965,8089.7,7113.7,4813.0,85.6,,
Mar-1966,8148.0,7167.0,4855.8,88.3,,
Jun-1966,8187.6,7201.6,4887.4,82.4,,
Sep-1966,8232.7,7243.2,4957.3,91.7,,
Dec-1966,8260.7,7267.7,4976.6,87.8,,
Mar-1967,8320.3,7323.8,5008.3,90.8,,
Jun-1967,8368.9,7368.9,5039.0,97.5,,
Sep-1967,8406.0,7402.5,5078.5,101.5,,
Dec-1967,8439.7,7432.7,5102.7,94.6,,
Mar-1968,8504.0,7493.5,5132.8,94.1,,
Jun-1968,8548.0,7534.0,5168.3,97.6,,
Sep-1968,8596.3,7579.1,5201.1,95.3,,
Dec-1968,8638.5,7618.0,5211.1,93.0,,
Mar-1969,8708.8,7685.1,5272.6,94.3,,
Jun-1969,8763.3,7736.3,5295.3,93.9,,
Sep-1969,8813.3,7782.1,5331.5,93.2,,
Dec-1969,8863.5,7828.0,5403.8,109.4,,
Mar-1970,8930.4,7890.7,5449.2,88.5,,
Jun-1970,8982.6,7938.6,5510.1,92.1,,
Sep-1970,9027.9,7972.3,5550.9,93.3,,
Dec-1970,9081.6,8014.4,5589.3,94.4,,
Mar-1971,9154.5,8075.7,5623.3,97.5,,
Jun-1971,9205.3,8114.9,5687.9,108.6,,
Sep-1971,9274.7,8177.3,5691.6,111.5,,
Dec-1971,9325.4,8221.1,5695.7,120.8,,
Mar-1972,9372.5,8261.2,5725.5,138.8,,
Jun-1972,9412.9,8294.6,5756.7,137.8,,
Sep-1972,9458.9,8333.0,5838.3,174.3,,
Dec-1972,9504.9,8371.4,5885.8,164.1,,
Mar-1973,9553.3,8412.2,5905.5,150.9,,
Jun-1973,9598.3,8449.6,5911.7,138.7,,
Sep-1973,9650.4,8493.6,5981.5,128.0,,
Dec-1973,9704.6,8539.7,6022.8,129.7,,
Mar-1974,9760.1,8587.1,6074.2,128.5,,
Jun-1974,9813.8,8632.6,6105.3,131.2,,
Sep-1974,9862.2,8673.4,6095.3,169.7,,
Dec-1974,9915.3,8718.9,6171.0,236.0,,
Mar-1975,9944.1,8740.1,6178.8,286.8,,
Jun-1975,9994.3,8782.7,6199.8,306.3,,
Sep-1975,10030.3,8808.4,6220.8,301.1,,
Dec-1975,10077.1,8844.9,6317.5,335.2,,
Mar-1976,10123.4,8880.9,6309.0,297.2,,
Jun-1976,10164.8,8912.0,6316.1,291.2,,
Sep-1976,10200.4,8938.9,6294.3,313.2,,
Dec-1976,10244.6,8974.4,6308.2,307.0,,
Mar-1977,10293.5,9014.6,6375.5,326.8,,
Jun-1977,10339.5,9051.9,6430.5,369.5,,
Sep-1977,10381.6,9084.2,6456.2,379.7,,
Dec-1977,10430.3,9123.1,6418.0,381.7,,
Mar-1978,10508.4,9191.4,6491.4,425.3,,
Jun-1978,10530.7,9203.9,6465.8,398.2,,
Sep-1978,10570.5,9232.9,6494.4,417.4,,
Dec-1978,10612.9,9264.7,6476.3,407.9,,
Mar-1979,10660.7,9301.7,6503.6,404.7,,
Jun-1979,10706.5,9336.7,6506.3,400.4,,
Sep-1979,10750.7,9370.0,6547.1,396.6,,
Dec-1979,10797.6,9406.1,6619.7,397.6,,
Mar-1980,10844.1,9441.8,6656.9,397.5,,
Jun-1980,10892.0,9478.7,6722.3,416.3,,
Sep-1980,10940.7,9517.0,6770.2,413.9,,
Dec-1980,10997.0,9562.9,6764.3,393.1,,
Mar-1981,11057.0,9612.4,6793.2,380.0,,
Jun-1981,11110.2,9655.2,6822.4,377.8,,
Sep-1981,11165.5,9699.5,6869.3,398.2,,
Dec-1981,11224.9,9748.0,6868.3,409.1,,
Mar-1982,11286.1,9798.3,6927.9,435.6,,
Jun-1982,11344.5,9845.7,6926.9,452.4,,
Sep-1982,11398.1,9890.1,6942.0,482.2,,
Dec-1982,11444.1,9926.9,6990.2,602.9,,
Mar-1983,11498.1,9971.6,7005.7,673.0,,
Jun-1983,11554.4,10018.7,7026.3,718.7,,
Sep-1983,11606.2,10061.0,7037.1,712.4,,
Dec-1983,11653.2,10098.4,7071.8,678.1,,
Mar-1984,11705.9,10141.7,7096.6,662.2,,
Jun-1984,11757.5,10183.7,7158.4,634.1,,
Sep-1984,11808.8,10223.2,7185.8,628.8,,
Dec-1984,11862.6,10265.1,7210.3,621.8,,
Mar-1985,11920.7,10311.4,7275.3,607.7,,
Jun-1985,11975.6,10354.5,7299.3,606.3,,
Sep-1985,12031.3,10395.0,7368.7,596.4,,
Dec-1985,12096.1,10444.5,7486.9,592.1,,
Mar-1986,12164.2,10497.3,7535.0,601.3,,
Jun-1986,12228.7,10546.6,7606.1,591.8,,
Sep-1986,12291.8,10595.4,7645.5,625.0,,
Dec-1986,12356.6,10645.9,7686.0,636.3,,
Mar-1987,12424.3,10699.3,7733.1,632.6,,
Jun-1987,12489.8,10750.5,7769.5,630.8,,
Sep-1987,12551.1,10798.8,7824.2,629.4,,
Dec-1987,12617.3,10852.0,7817.8,617.4,,
Mar-1988,12688.0,10909.6,7911.5,584.3,,
Jun-1988,12753.3,10961.9,7975.4,586.8,,
Sep-1988,12814.4,11009.3,8020.3,562.4,,
Dec-1988,12879.2,11060.2,8065.7,531.2,,
Mar-1989,12941.4,11108.6,8192.9,541.3,,
Jun-1989,12998.6,11152.1,8264.8,511.7,,
Sep-1989,13054.7,11196.5,8312.4,490.5,,
Dec-1989,13113.2,11243.2,8379.5,483.1,,
Mar-1990,13169.3,11287.6,8429.1,535.8,,
Jun-1990,13221.8,11328.5,8483.4,544.7,,
Sep-1990,13270.1,11362.3,8524.8,610.3,,
Dec-1990,13320.7,11398.7,8541.2,674.2,,
Mar-1991,13368.4,11432.0,8536.4,729.7,,
Jun-1991,13414.1,11463.4,8535.0,802.6,,
Sep-1991,13459.2,11495.3,8560.5,828.6,,
Dec-1991,13507.3,11530.1,8537.5,863.9,,
Mar-1992,13551.6,11561.2,8598.0,893.0,,
Jun-1992,13591.6,11588.0,8576.2,913.4,,
Sep-1992,13629.9,11613.1,8651.9,932.2,,
Dec-1992,13670.5,11640.5,8582.0,937.8,,
Mar-1993,13711.5,11668.3,8582.0,939.3,,
Jun-1993,13751.7,11695.3,8615.1,929.4,,
Sep-1993,13791.2,11722.5,8675.6,949.0,,
Dec-1993,13832.3,11751.3,8758.5,941.5,,
Mar-1994,13874.3,11781.0,8758.8,901.1,,
Jun-1994,13915.8,11810.2,8777.6,858.3,,
Sep-1994,13959.5,11842.5,8823.8,825.2,,
Dec-1994,14004.2,11875.7,8873.7,804.5,,
Mar-1995,14055.1,11915.2,8984.7,788.0,,
Jun-1995,14108.0,11956.6,9034.9,759.7,,
Sep-1995,14160.3,11996.0,9083.2,742.9,,
Dec-1995,14215.1,12037.8,9147.3,772.9,,
Mar-1996,14271.9,12081.7,9133.3,760.5,,
Jun-1996,14324.1,12121.1,9148.1,761.5,,
Sep-1996,14375.3,12160.9,9228.2,790.2,,
Dec-1996,14431.2,12205.3,9190.5,771.4,,
Mar-1997,14482.4,12245.1,9246.5,802.9,,
Jun-1997,14532.4,12283.7,9231.0,790.7,,
Sep-1997,14581.1,12321.8,9216.4,782.3,,
Dec-1997,14639.0,12369.0,9316.0,746.1,,
Mar-1998,14694.2,12413.6,9301.6,722.1,,
Jun-1998,14744.8,12453.6,9359.2,712.8,,
Sep-1998,14794.8,12492.5,9410.7,723.4,,
Dec-1998,14850.7,12537.4,9431.1,725.9,,
Mar-1999,14891.9,12567.5,9415.5,676.6,,
Jun-1999,14927.7,12592.3,9418.9,656.6,,
Sep-1999,14964.9,12618.5,9468.9,644.7,,
Dec-1999,15014.8,12657.4,9500.0,610.4,,
Mar-2000,15066.3,12697.9,9547.2,605.5,,
Jun-2000,15119.3,12740.0,9624.8,610.6,,
Sep-2000,15176.9,12783.5,9709.1,586.2,,
Dec-2000,15236.1,12828.7,9667.1,603.5,,
Mar-2001,15295.9,12874.4,9714.8,634.0,,
Jun-2001,15355.6,12920.1,9799.1,664.2,,
Sep-2001,15417.7,12970.0,9843.5,670.9,,
Dec-2001,15477.2,13017.3,9862.4,673.5,,
Mar-2002,15544.1,13072.1,9897.3,643.3,,
Jun-2002,15597.9,13113.6,9895.2,620.7,,
Sep-2002,15649.8,13153.6,9985.5,628.3,,
