DATE,A84423091W
Feb-1978,10489.3
Mar-1978,10508.6
Apr-1978,10518.7
May-1978,10530.7
Jun-1978,10543.4
Jul-1978,10555.4
Aug-1978,10570.5
Sep-1978,10586.9
Oct-1978,10598.3
Nov-1978,10612.9
Dec-1978,10629.0
Jan-1979,10643.8
Feb-1979,10660.7
Mar-1979,10679.9
Apr-1979,10692.1
May-1979,10706.5
Jun-1979,10724.4
Jul-1979,10736.4
Aug-1979,10750.7
Sep-1979,10766.9
Oct-1979,10781.2
Nov-1979,10797.6
Dec-1979,10816.1
Jan-1980,10829.1
Feb-1980,10844.1
Mar-1980,10861.0
Apr-1980,10875.6
May-1980,10892.0
Jun-1980,10909.7
Jul-1980,10924.1
Aug-1980,10940.7
Sep-1980,10959.6
Oct-1980,10977.2
Nov-1980,10997.0
Dec-1980,11019.1
Jan-1981,11036.9
Feb-1981,11057.0
Mar-1981,11079.3
Apr-1981,11093.6
May-1981,11110.2
Jun-1981,11128.0
Jul-1981,11146.7
Aug-1981,11165.5
Sep-1981,11184.2
Oct-1981,11204.6
Nov-1981,11224.9
Dec-1981,11245.3
Jan-1982,11266.0
Feb-1982,11286.1
Mar-1982,11306.8
Apr-1982,11326.0
May-1982,11344.5
Jun-1982,11362.9
Jul-1982,11380.5
Aug-1982,11398.1
Sep-1982,11415.9
Oct-1982,11430.4
Nov-1982,11444.1
Dec-1982,11459.1
Jan-1983,11478.9
Feb-1983,11498.1
Mar-1983,11517.8
Apr-1983,11536.0
May-1983,11554.4
Jun-1983,11572.6
Jul-1983,11589.4
Aug-1983,11606.2
Sep-1983,11623.2
Oct-1983,11638.3
Nov-1983,11653.2
Dec-1983,11668.1
Jan-1984,11688.6
Feb-1984,11705.9
Mar-1984,11723.3
Apr-1984,11740.4
May-1984,11757.5
Jun-1984,11774.6
Jul-1984,11791.7
Aug-1984,11808.8
Sep-1984,11826.0
Oct-1984,11844.3
Nov-1984,11862.6
Dec-1984,11881.0
Jan-1985,11900.8
Feb-1985,11920.6
Mar-1985,11940.7
Apr-1985,11958.1
May-1985,11975.6
Jun-1985,11993.1
Jul-1985,12012.3
Aug-1985,12031.3
Sep-1985,12050.5
Oct-1985,12073.3
Nov-1985,12096.1
Dec-1985,12119.0
Jan-1986,12141.6
Feb-1986,12164.2
Mar-1986,12186.9
Apr-1986,12207.8
May-1986,12228.7
Jun-1986,12249.7
Jul-1986,12270.8
Aug-1986,12291.8
Sep-1986,12313.0
Oct-1986,12334.8
Nov-1986,12356.6
Dec-1986,12378.5
Jan-1987,12401.4
Feb-1987,12424.3
Mar-1987,12447.4
Apr-1987,12468.7
May-1987,12489.8
Jun-1987,12511.0
Jul-1987,12531.2
Aug-1987,12551.1
Sep-1987,12571.1
Oct-1987,12594.4
Nov-1987,12617.3
Dec-1987,12640.5
Jan-1988,12664.4
Feb-1988,12688.0
Mar-1988,12711.8
Apr-1988,12732.6
May-1988,12753.3
Jun-1988,12774.3
Jul-1988,12794.6
Aug-1988,12814.4
Sep-1988,12834.5
Oct-1988,12856.9
Nov-1988,12879.2
Dec-1988,12901.7
Jan-1989,12921.7
Feb-1989,12941.4
Mar-1989,12961.3
Apr-1989,12980.0
May-1989,12998.6
Jun-1989,13017.4
Jul-1989,13036.1
Aug-1989,13054.7
Sep-1989,13073.6
Oct-1989,13093.4
Nov-1989,13113.2
Dec-1989,13133.1
Jan-1990,13151.3
Feb-1990,13169.3
Mar-1990,13187.5
Apr-1990,13204.7
May-1990,13221.8
Jun-1990,13239.2
Jul-1990,13254.7
Aug-1990,13270.1
Sep-1990,13285.7
Oct-1990,13303.3
Nov-1990,13320.7
Dec-1990,13338.4
Jan-1991,13353.5
Feb-1991,13368.5
Mar-1991,13383.6
Apr-1991,13398.9
May-1991,13414.1
Jun-1991,13429.3
Jul-1991,13445.4
Aug-1991,13460.6
Sep-1991,13475.9
Oct-1991,13488.1
Nov-1991,13500.4
Dec-1991,13512.7
Jan-1992,13530.7
Feb-1992,13548.8
Mar-1992,13566.8
Apr-1992,13577.4
May-1992,13587.9
Jun-1992,13598.5
Jul-1992,13610.8
Aug-1992,13623.2
Sep-1992,13635.5
Oct-1992,13645.9
Nov-1992,13656.3
Dec-1992,13666.7
Jan-1993,13683.0
Feb-1993,13699.3
Mar-1993,13715.5
Apr-1993,13723.9
May-1993,13732.3
Jun-1993,13740.7
Jul-1993,13754.0
Aug-1993,13767.2
Sep-1993,13780.5
Oct-1993,13791.3
Nov-1993,13802.1
Dec-1993,13812.9
Jan-1994,13829.6
Feb-1994,13846.2
Mar-1994,13862.9
Apr-1994,13872.9
May-1994,13883.0
Jun-1994,13893.0
Jul-1994,13908.1
Aug-1994,13923.1
Sep-1994,13938.2
Oct-1994,13948.7
Nov-1994,13959.2
Dec-1994,13969.7
Jan-1995,13987.7
Feb-1995,14005.7
Mar-1995,14023.8
Apr-1995,14039.3
May-1995,14054.9
Jun-1995,14070.5
Jul-1995,14087.0
Aug-1995,14103.5
Sep-1995,14120.1
Oct-1995,14137.3
Nov-1995,14154.5
Dec-1995,14171.8
Jan-1996,14189.7
Feb-1996,14207.7
Mar-1996,14225.7
Apr-1996,14240.8
May-1996,14256.0
Jun-1996,14271.2
Jul-1996,14287.8
Aug-1996,14304.5
Sep-1996,14321.2
Oct-1996,14335.8
Nov-1996,14350.4
Dec-1996,14365.0
Jan-1997,14384.1
Feb-1997,14403.3
Mar-1997,14422.4
Apr-1997,14433.4
May-1997,14444.4
Jun-1997,14455.4
Jul-1997,14469.5
Aug-1997,14483.6
Sep-1997,14497.7
Oct-1997,14511.2
Nov-1997,14524.7
Dec-1997,14538.1
Jan-1998,14558.6
Feb-1998,14579.1
Mar-1998,14599.6
Apr-1998,14611.0
May-1998,14622.5
Jun-1998,14633.9
Jul-1998,14649.3
Aug-1998,14664.6
Sep-1998,14680.0
Oct-1998,14695.4
Nov-1998,14710.8
Dec-1998,14726.1
Jan-1999,14746.7
Feb-1999,14767.2
Mar-1999,14787.7
Apr-1999,14800.6
May-1999,14813.6
Jun-1999,14826.6
Jul-1999,14843.2
Aug-1999,14859.7
Sep-1999,14876.3
Oct-1999,14892.9
Nov-1999,14909.5
Dec-1999,14926.1
Jan-2000,14947.9
Feb-2000,14969.8
Mar-2000,14991.7
Apr-2000,15005.6
May-2000,15019.4
Jun-2000,15033.3
Jul-2000,15050.4
Aug-2000,15067.6
Sep-2000,15084.7
Oct-2000,15101.9
Nov-2000,15119.1
Dec-2000,15136.3
Jan-2001,15162.9
Feb-2001,15189.5
Mar-2001,15216.1
Apr-2001,15231.5
May-2001,15247.0
Jun-2001,15262.4
Jul-2001,15279.8
Aug-2001,15297.2
Sep-2001,15314.6
Oct-2001,15333.9
Nov-2001,15353.2
Dec-2001,15372.5
Jan-2002,15394.3
Feb-2002,15416.0
Mar-2002,15437.8
Apr-2002,15451.7
May-2002,15465.5
Jun-2002,15479.3
Jul-2002,15496.1
Aug-2002,15512.9
Sep-2002,15529.7
Oct-2002,15548.2
Nov-2002,15566.7
Dec-2002,15585.2
Jan-2003,15609.0
Feb-2003,15632.8
Mar-2003,15656.6
Apr-2003,15670.8
May-2003,15685.1
Jun-2003,15699.4
Jul-2003,15716.1
Aug-2003,15732.9
Sep-2003,15749.6
Oct-2003,15767.5
Nov-2003,15785.3
Dec-2003,15803.2
Jan-2004,15824.8
Feb-2004,15846.5
Mar-2004,15868.1
Apr-2004,15881.1
May-2004,15894.2
Jun-2004,15907.2
Jul-2004,15925.4
Aug-2004,15943.6
Sep-2004,15961.8
Oct-2004,15980.8
Nov-2004,15999.8
Dec-2004,16018.8
Jan-2005,16044.3
Feb-2005,16069.8
Mar-2005,16095.3
Apr-2005,16110.7
May-2005,16126.1
Jun-2005,16141.5
Jul-2005,16162.2
Aug-2005,16182.9
Sep-2005,16203.6
Oct-2005,16224.7
Nov-2005,16245.8
Dec-2005,16266.8
