"comparison","term","coef_no_cci","coef_with_cci","t_no_cci","t_with_cci","diff_abs","diff_pct","verdict"
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","nla_y",0.00875270796069066,0.0191711762062392,0.195815297461659,2.51703306897196,0.0104184682455485,119.031370546567,"IDENTIFICATION (shift > 30%)"
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","eq_y",-0.0176196356320892,0.0364155400192424,-0.452710426239609,2.11199271357236,0.0540351756513316,306.675897161697,"IDENTIFICATION (shift > 30%)"
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","super_y",0.00821841807211587,-0.0041651955467991,0.895045597058582,-0.494039031504895,-0.012383613618915,-150.681232206124,"IDENTIFICATION (shift > 30%)"
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","ha_y",0.00618613299721876,0.00454886716417845,1.2308816507904,1.74514215819221,-0.00163726583304031,-26.4667092313795,"MIXED (shift 5-30%)"
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","ln_hp_over_y",-0.00025808666110608,NA,-0.0126155479791863,NA,NA,NA,NA
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","real_rate",-0.00062795246264529,NA,-0.551909940647121,NA,NA,NA,NA
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","ln_yp_over_y",0.302067278221567,0.217258354598138,1.28799421832083,4.40816889126223,-0.084808923623429,-28.0761703560693,"MIXED (shift 5-30%)"
"Spec6 vs Spec8 (Williams maximal-GETS CCI)","ecm_lag",-0.218304071861814,-0.24523973078433,-2.21734112946731,-4.45711550312997,-0.026935658922516,-12.3385966614339,"MIXED (shift 5-30%)"
"Spec6 vs Spec9 (Kalman state-space CCI)","nla_y",0.00875270796069066,0.00643507433433697,0.195815297461659,0.361871468117484,-0.00231763362635369,-26.4790466763249,"MIXED (shift 5-30%)"
"Spec6 vs Spec9 (Kalman state-space CCI)","eq_y",-0.0176196356320892,-0.0174283065060601,-0.452710426239609,-0.701010932374104,0.000191329126029097,1.08588582660952,"DETRENDING (shift < 5%)"
"Spec6 vs Spec9 (Kalman state-space CCI)","super_y",0.00821841807211587,0.00593568949292102,0.895045597058582,0.900021439603023,-0.00228272857919485,-27.7757660800913,"MIXED (shift 5-30%)"
"Spec6 vs Spec9 (Kalman state-space CCI)","ha_y",0.00618613299721876,0.00549038015710989,1.2308816507904,1.50423296706251,-0.00069575284010887,-11.2469751365138,"MIXED (shift 5-30%)"
"Spec6 vs Spec9 (Kalman state-space CCI)","ln_hp_over_y",-0.00025808666110608,NA,-0.0126155479791863,NA,NA,NA,NA
"Spec6 vs Spec9 (Kalman state-space CCI)","real_rate",-0.00062795246264529,NA,-0.551909940647121,NA,NA,NA,NA
"Spec6 vs Spec9 (Kalman state-space CCI)","ln_yp_over_y",0.302067278221567,0.217096945423199,1.28799421832083,3.12491486380364,-0.084970332798368,-28.1296051987604,"MIXED (shift 5-30%)"
"Spec6 vs Spec9 (Kalman state-space CCI)","ecm_lag",-0.218304071861814,-0.206084489122358,-2.21734112946731,-3.69249490179076,0.012219582739456,5.59750564212608,"MIXED (shift 5-30%)"
