"specification","period","n_obs","coint_adf_stat","coint_adf_5pct_cv","coint_adf_pass","po_stat","po_pass","johansen_r1_pass"
"Spec1_LogNetWorth","1991-10 to 2024-10",133,-0.674295534813881,-2.88,FALSE,7.08006883294826,FALSE,TRUE
"Spec2_LogNetWorth_CCI","1991-10 to 2024-10",133,-0.674295534813881,-2.88,FALSE,7.08006883294826,FALSE,TRUE
"Spec3_LevelNetWorth","1991-10 to 2024-10",133,-1.22969129058554,-2.88,FALSE,7.71523692550154,FALSE,TRUE
"Spec4_Disagg_NoCCI","1991-10 to 2024-10",133,-3.23525195679986,-2.88,TRUE,NA,NA,TRUE
"Spec5_FullDisagg","1991-10 to 2024-10",133,-3.23525195679986,-2.88,TRUE,NA,NA,TRUE
"Spec6_Preferred","1991-10 to 2024-10",133,-3.24366206385851,-2.88,TRUE,NA,NA,TRUE
"Spec7_CohortBurden","2002-07 to 2024-10",90,-4.67843527880377,-2.89,TRUE,NA,NA,TRUE
"Spec7b_RBABurden","2009-01 to 2024-10",64,-4.13877327529146,-2.89,TRUE,NA,NA,TRUE
"Spec8_CCI_Interactions",NA,NA,NA,NA,NA,NA,NA,NA
"Spec9_KalmanCCI",NA,NA,NA,NA,NA,NA,NA,NA
"Spec10_WilliamsPrior",NA,NA,NA,NA,NA,NA,NA,NA
