"specification","term","ols_estimate","nw_se","t_stat","p_value","lambda","structural_param","in_long_run","in_short_run","is_dummy","expected_sign","sign_ok","signif_5pct","signif_1pct","coef_label","period"
"Spec1_LogNetWorth","(Intercept)",-0.0387606198915203,0.0168105866376162,-2.3057267855714,0.0228427314770475,-0.0797173852739585,-0.486225429475826,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,"-0.0388**","full"
"Spec1_LogNetWorth","ln_networth_y",0.0512084944810931,0.0167902943353504,3.04988664631557,0.00281773510778434,-0.0797173852739585,0.642375490680093,TRUE,FALSE,FALSE,"+",TRUE,TRUE,TRUE,"+0.0512***","full"
"Spec1_LogNetWorth","ln_hp_over_y",-0.0173714763941513,0.00522496741957116,-3.32470520851153,0.00117441017027014,-0.0797173852739585,-0.217913273678659,TRUE,FALSE,FALSE,"+/-",NA,TRUE,TRUE,"-0.0174***","full"
"Spec1_LogNetWorth","real_rate",-0.00064023049383979,0.000601498566515644,-1.06439238508666,0.289288073789483,-0.0797173852739585,-0.00803125305276334,TRUE,FALSE,FALSE,"-",TRUE,FALSE,FALSE,"-0.0006","full"
"Spec1_LogNetWorth","ln_yp_over_y",-0.00356511897200004,0.000587286172015788,-6.0704970453556,0.0000000153708053705604,-0.0797173852739585,-0.0447219757615993,TRUE,FALSE,FALSE,"+/-",NA,TRUE,TRUE,"-0.0036***","full"
"Spec1_LogNetWorth","ecm_lag",-0.0797173852739585,0.0499593854442969,-1.59564383278575,0.113198642221047,-0.0797173852739585,-1,TRUE,FALSE,FALSE,"-",TRUE,FALSE,FALSE,"-0.0797","full"
"Spec1_LogNetWorth","d2000_gst",0.000973918752981983,0.00153891354409394,0.632861252485364,0.528028405956412,-0.0797173852739585,0.0122171437213475,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,"+0.0010","full"
"Spec1_LogNetWorth","d2008_gfc",-0.0138959973346199,0.00108991479767242,-12.7496180107799,0.00000000000000000000000461114570448843,-0.0797173852739585,-0.174315769224801,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,"-0.0139***","full"
"Spec1_LogNetWorth","d2020_covid",-0.160831058633571,0.00614078186039568,-26.1906484043723,0.00000000000000000000000000000000000000000000000000185446496018577,-0.0797173852739585,-2.01751547771989,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,"-0.1608***","full"
"Spec1_LogNetWorth","d2020_rebound",0.0367822545107697,0.00686361210446234,5.35902290965073,0.000000410786043179241,-0.0797173852739585,0.461408190752406,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,"+0.0368***","full"
"Spec1_LogNetWorth","d_apra_2014",-0.00382980136557051,0.00236681507518298,-1.61812446005078,0.108261319572413,-0.0797173852739585,-0.0480422351085517,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,"-0.0038","full"
"Spec1_LogNetWorth","d_apra_2017",-0.00640214477488252,0.00279494259805473,-2.29061762461182,0.0237310680698811,-0.0797173852739585,-0.0803105213860285,FALSE,FALSE,TRUE,NA,NA,TRUE,FALSE,"-0.0064**","full"
"Spec1_LogNetWorth","d_jobkeeper_2020",0.0212038297993996,0.00880544507504898,2.40803612068203,0.0175608184247586,-0.0797173852739585,0.265987522377083,FALSE,FALSE,TRUE,NA,NA,TRUE,FALSE,"+0.0212**","full"
"Spec2_LogNetWorth_CCI","(Intercept)",-0.0609062570421699,0.0361481526061272,-1.68490649317017,0.0962775040869949,-0.0873217444135958,-0.69749244533744,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,"-0.0609*","full"
"Spec2_LogNetWorth_CCI","ln_networth_y",0.0564026099867251,0.0233636866481903,2.41411429780042,0.0182815132196823,-0.0873217444135958,0.645917123684296,TRUE,FALSE,FALSE,"+",TRUE,TRUE,FALSE,"+0.0564**","full"
"Spec2_LogNetWorth_CCI","ln_hp_over_y",-0.0134713608908531,0.00600004313176657,-2.24521067515839,0.0277834707969267,-0.0873217444135958,-0.154272695550452,TRUE,FALSE,FALSE,"+/-",NA,TRUE,FALSE,"-0.0135**","full"
"Spec2_LogNetWorth_CCI","real_rate",-0.0000896991464320528,0.000432274804910499,-0.207504914496751,0.836193337087871,-0.0873217444135958,-0.00102722577331021,TRUE,FALSE,FALSE,"-",TRUE,FALSE,FALSE,"-0.0001","full"
"Spec2_LogNetWorth_CCI","ln_yp_over_y",-0.00361370184004251,0.000655039752378089,-5.51676722965766,0.000000498259953598121,-0.0873217444135958,-0.04138375686732,TRUE,FALSE,FALSE,"+/-",NA,TRUE,TRUE,"-0.0036***","full"
"Spec2_LogNetWorth_CCI","ecm_lag",-0.0873217444135958,0.0693160788962394,-1.25976174365416,0.211768014478712,-0.0873217444135958,-1,TRUE,FALSE,FALSE,"-",TRUE,FALSE,FALSE,"-0.0873","full"
"Spec2_LogNetWorth_CCI","d2_logcci_lag2",-0.0290506488899012,0.0203583837419334,-1.42696243759586,0.157854105486948,-0.0873217444135958,-0.332685164330937,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,"-0.0291","full"
"Spec2_LogNetWorth_CCI","d2008_gfc",-0.0145288044868235,0.00188279872095604,-7.71659993450927,0.0000000000479318360491921,-0.0873217444135958,-0.166382435261582,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,"-0.0145***","full"
"Spec2_LogNetWorth_CCI","d2020_covid",-0.164385140613671,0.00657975660734737,-24.9834682988286,0.000000000000000000000000000000000000166522438232838,-0.0873217444135958,-1.88252240856605,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,"-0.1644***","full"
"Spec2_LogNetWorth_CCI","d2020_rebound",0.0318883178062715,0.00671964863883354,4.74553351227111,0.00001007543599691,-0.0873217444135958,0.365181868736312,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,"+0.0319***","full"
"Spec2_LogNetWorth_CCI","d_apra_2014",-0.00576870880507152,0.00313483301163336,-1.84019652200415,0.0698041338931495,-0.0873217444135958,-0.0660626839719128,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,"-0.0058*","full"
"Spec2_LogNetWorth_CCI","d_apra_2017",-0.00709491291411229,0.0042298281261664,-1.67735253123455,0.0977507057866669,-0.0873217444135958,-0.0812502425570833,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,"-0.0071*","full"
"Spec2_LogNetWorth_CCI","d_jobkeeper_2020",0.0232375040651132,0.0104789311075115,2.21754526551435,0.0296986219972754,-0.0873217444135958,0.266113603446236,FALSE,FALSE,TRUE,NA,NA,TRUE,FALSE,"+0.0232**","full"
"Spec3_LevelNetWorth","(Intercept)",0.00576779575699415,0.00645775043043038,0.893158665564867,0.37355990042914,-0.074813102710304,0.0770960640321064,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,"+0.0058","full"
