"variant","knot","sign_prior","estimate","verdict"
"williams_2009","1979_01",1,NA,"aliased"
"williams_2009","1992_01",-1,0.00396473533133372,"sign-violator (DROPPED)"
"williams_2009","1998_01",1,-0.00204779915427534,"sign-violator (DROPPED)"
"williams_2010","1979_01",1,NA,"aliased"
"williams_2010","1992_01",-1,0.00265923292817116,"sign-violator (DROPPED)"
"williams_2010","1998_01",1,-0.00189941282122803,"sign-violator (DROPPED)"
"williams_2010","2007_01",-1,-0.0144354178634708,"surviving"
"six_with_macropru","1979_01",1,NA,"aliased"
"six_with_macropru","1992_01",-1,0.00258727777432912,"sign-violator (DROPPED)"
"six_with_macropru","1998_01",1,-0.0019630425680985,"sign-violator (DROPPED)"
"six_with_macropru","2007_01",-1,-0.0146428518658713,"surviving"
"six_with_macropru","2014_12",-1,0.00151999699663398,"sign-violator (DROPPED)"
"six_with_macropru","2017_03",-1,-0.00270008739015534,"surviving"
"eight_full_australia","1979_01",1,NA,"aliased"
"eight_full_australia","1986_01",1,NA,"aliased"
"eight_full_australia","1992_01",-1,0.00391934901523815,"sign-violator (DROPPED)"
"eight_full_australia","1998_01",1,-0.00184736918728533,"sign-violator (DROPPED)"
"eight_full_australia","2007_01",-1,-0.0135683989421378,"surviving"
"eight_full_australia","2014_12",-1,0.00627038765720667,"sign-violator (DROPPED)"
"eight_full_australia","2017_03",-1,0.00983825435129911,"sign-violator (DROPPED)"
"eight_full_australia","2019_09",1,-0.0318103017199456,"sign-violator (DROPPED)"
"australia_within_sample","1992_01",-1,0.00258727777432912,"sign-violator (DROPPED)"
"australia_within_sample","1998_01",1,-0.0019630425680985,"sign-violator (DROPPED)"
"australia_within_sample","2007_01",-1,-0.0146428518658713,"surviving"
"australia_within_sample","2014_12",-1,0.00151999699663398,"sign-violator (DROPPED)"
"australia_within_sample","2017_03",-1,-0.00270008739015534,"surviving"
"australia_within_sample_plus","1990_09",-1,-0.0184356010117596,"surviving"
"australia_within_sample_plus","1992_01",-1,0.00663610888520092,"sign-violator (DROPPED)"
"australia_within_sample_plus","1998_01",1,-0.00190222373755368,"sign-violator (DROPPED)"
"australia_within_sample_plus","2007_01",-1,-0.0135660106713139,"surviving"
"australia_within_sample_plus","2014_12",-1,0.00636533722044208,"sign-violator (DROPPED)"
"australia_within_sample_plus","2017_03",-1,0.00994844987213169,"sign-violator (DROPPED)"
"australia_within_sample_plus","2019_09",1,-0.0321425270838552,"sign-violator (DROPPED)"
"maximal_gets","1979_01",1,NA,"aliased"
"maximal_gets","1986_01",1,NA,"aliased"
"maximal_gets","1990_09",-1,0.0218986814617844,"sign-violator (DROPPED)"
"maximal_gets","1992_01",-1,-0.0200364038744565,"surviving"
"maximal_gets","1993_01",-1,0.0189982989951012,"sign-violator (DROPPED)"
"maximal_gets","1998_09",1,-0.00908211472172968,"sign-violator (DROPPED)"
"maximal_gets","2007_09",-1,-0.00671748859412758,"surviving"
"maximal_gets","2008_12",-1,0.00595255454582437,"sign-violator (DROPPED)"
"maximal_gets","2009_01",1,NA,"aliased"
"maximal_gets","2014_12",-1,0.00802045807365553,"sign-violator (DROPPED)"
"maximal_gets","2017_03",-1,0.0136550308488201,"sign-violator (DROPPED)"
"maximal_gets","2019_01",-1,-0.00466102056074188,"surviving"
"maximal_gets","2019_09",1,-0.10870373972909,"sign-violator (DROPPED)"
"maximal_gets","2020_04",1,0.0766174706490996,"surviving"
"maximal_gets","2021_12",-1,-0.00369711185383087,"surviving"
