"specification","sample_variant","lambda","lambda_se","lambda_signed_correctly","lambda_sign_stable_across_samples"
"Spec1_LogNetWorth","full",-0.0797173852739585,0.0499593854442969,TRUE,TRUE
"Spec2_LogNetWorth_CCI","full",-0.0873217444135958,0.0693160788962394,TRUE,TRUE
"Spec3_LevelNetWorth","full",-0.074813102710304,0.048137096335949,TRUE,TRUE
"Spec4_Disagg_NoCCI","full",-0.067593061766848,0.0493168293355493,TRUE,TRUE
"Spec5_FullDisagg","full",-0.0832513001558934,0.0565658761591337,TRUE,TRUE
"Spec6_Preferred","full",-0.0461836352335867,0.0600632398509688,TRUE,TRUE
"Spec7_CohortBurden","full",-0.251912234763703,0.0816117431702615,TRUE,TRUE
"Spec8_CCI_Interactions","full",-0.0938035641114536,0.044234755730003,TRUE,TRUE
"Spec1_LogNetWorth","precovid",-0.0372574209129744,0.0352677912167499,TRUE,TRUE
"Spec2_LogNetWorth_CCI","precovid",-0.0662226748938462,0.0632738213493515,TRUE,TRUE
"Spec3_LevelNetWorth","precovid",-0.0236712504611697,0.0348019967458047,TRUE,TRUE
"Spec4_Disagg_NoCCI","precovid",-0.0364306747420556,0.0361336003816577,TRUE,TRUE
"Spec5_FullDisagg","precovid",-0.144517134722061,0.0597776846813903,TRUE,TRUE
"Spec6_Preferred","precovid",-0.106851404261741,0.0699015180233929,TRUE,TRUE
"Spec7_CohortBurden","precovid",-0.215795975735616,0.101150718645599,TRUE,TRUE
"Spec8_CCI_Interactions","precovid",-0.0605188460191933,0.05831347626162,TRUE,TRUE
"Spec1_LogNetWorth","covid_dropped",-0.0922760875986688,0.02841268335513,TRUE,TRUE
"Spec2_LogNetWorth_CCI","covid_dropped",-0.12504024004102,0.0340353787352592,TRUE,TRUE
"Spec3_LevelNetWorth","covid_dropped",-0.080395546850852,0.030963717735315,TRUE,TRUE
"Spec4_Disagg_NoCCI","covid_dropped",-0.0828696877374649,0.0316398549287611,TRUE,TRUE
"Spec5_FullDisagg","covid_dropped",-0.121932388989378,0.0323248729921088,TRUE,TRUE
"Spec6_Preferred","covid_dropped",-0.108208219466418,0.032200189063236,TRUE,TRUE
"Spec7_CohortBurden","covid_dropped",-0.229884703170212,0.0553316814783676,TRUE,TRUE
"Spec8_CCI_Interactions","covid_dropped",-0.105994569164822,0.035825051764365,TRUE,TRUE
"Spec1_LogNetWorth","covid_rich",-0.0650295859416235,0.0359688806716395,TRUE,TRUE
"Spec2_LogNetWorth_CCI","covid_rich",-0.105599509635956,0.0392390749965096,TRUE,TRUE
"Spec3_LevelNetWorth","covid_rich",-0.0422837510649712,0.0388822248844875,TRUE,TRUE
"Spec4_Disagg_NoCCI","covid_rich",-0.0842344673797974,0.0326875655304962,TRUE,TRUE
"Spec5_FullDisagg","covid_rich",-0.124862935333109,0.0335035176355115,TRUE,TRUE
"Spec6_Preferred","covid_rich",-0.121161083127116,0.0345757719957842,TRUE,TRUE
