"variant","delta","k","gfc_learning","ar_order","method","lambda","struct_ln_yp_over_y","struct_main_wealth"
"delta=0.90_k=20_gfc=TRUE",0.9,20,TRUE,8,"rolling_ar8",-0.078198461815617,-0.118662950333106,0.0920818973198429
"delta=0.95_k=20_gfc=TRUE",0.95,20,TRUE,8,"rolling_ar8",-0.0782426143170845,-0.112136495845639,0.0920073927134693
"delta=0.97_k=20_gfc=TRUE",0.97,20,TRUE,8,"rolling_ar8",-0.0782585977321488,-0.109775900317082,0.0919801295444915
"delta=0.90_k=40_gfc=TRUE",0.9,40,TRUE,8,"rolling_ar8",-0.0787275950649954,-0.0488751963779621,0.090865711884697
"delta=0.95_k=40_gfc=TRUE",0.95,40,TRUE,8,"rolling_ar8",-0.0787706485427068,-0.0429945825059093,0.0907681608043844
"delta=0.97_k=40_gfc=TRUE",0.97,40,TRUE,8,"rolling_ar8",-0.0787852071145648,-0.0410175151367898,0.0907343732909587
"delta=0.90_k=60_gfc=TRUE",0.9,60,TRUE,8,"rolling_ar8",-0.0788681502140578,-0.0306332633997014,0.090446419540039
"delta=0.95_k=60_gfc=TRUE",0.95,60,TRUE,8,"rolling_ar8",-0.0789100448651013,-0.0250303039031273,0.0903333568421137
"delta=0.97_k=60_gfc=TRUE",0.97,60,TRUE,8,"rolling_ar8",-0.0789233131693992,-0.0232667951867736,0.090296098757594
"delta=0.90_k=20_gfc=FALSE",0.9,20,FALSE,8,"rolling_ar8",-0.078198461815617,-0.118662950333106,0.0920818973198429
"delta=0.95_k=20_gfc=FALSE",0.95,20,FALSE,8,"rolling_ar8",-0.0782426143170845,-0.112136495845639,0.0920073927134693
"delta=0.97_k=20_gfc=FALSE",0.97,20,FALSE,8,"rolling_ar8",-0.0782585977321488,-0.109775900317082,0.0919801295444915
"delta=0.90_k=40_gfc=FALSE",0.9,40,FALSE,8,"rolling_ar8",-0.0787275950649954,-0.0488751963779621,0.090865711884697
"delta=0.95_k=40_gfc=FALSE",0.95,40,FALSE,8,"rolling_ar8",-0.0787706485427068,-0.0429945825059093,0.0907681608043844
"delta=0.97_k=40_gfc=FALSE",0.97,40,FALSE,8,"rolling_ar8",-0.0787852071145648,-0.0410175151367898,0.0907343732909587
"delta=0.90_k=60_gfc=FALSE",0.9,60,FALSE,8,"rolling_ar8",-0.0788681502140578,-0.0306332633997014,0.090446419540039
"delta=0.95_k=60_gfc=FALSE",0.95,60,FALSE,8,"rolling_ar8",-0.0789100448651013,-0.0250303039031273,0.0903333568421137
"delta=0.97_k=60_gfc=FALSE",0.97,60,FALSE,8,"rolling_ar8",-0.0789233131693992,-0.0232667951867736,0.090296098757594
"hp_filter_lambda1600",NA,NA,NA,NA,"hp_filter",-0.128622839092162,1.22773720775925,0.0657716388673407
