"term","ar_estimate","italy_estimate","ar_se","italy_se"
"(Intercept)",-0.0957421990471497,-0.0313142609925312,0.0309016579455877,0.0278292953669574
"networth_y",0.00714986689359006,0.00370159835620925,0.00238864548152837,0.00178266094358472
"ln_hp_over_y",-0.0152209899331437,-0.00283443798111826,0.00472009040901012,0.00511988139110198
"real_rate",-0.000955086241058416,-0.00000581498131756997,0.000478191767401756,0.000598336820044529
"ln_yp_over_y",-0.00338671114781339,0.165579234414319,0.000631080516743214,0.065364376392154
"ecm_lag",-0.0787706485427068,-0.184065537282422,0.0468703851561896,0.0684551405794123
"d2000_gst",0.000544554054575906,0.00328956080610802,0.00152653205408028,0.00179615373244202
"d2008_gfc",-0.0117551251980463,-0.0122838673519082,0.00143335365707723,0.00142195011537798
"d2020_covid",-0.160021146148583,-0.158894546499177,0.00626388113444279,0.00518161765272511
"d2020_rebound",0.0387616703383442,0.0257620004655624,0.00675485346019866,0.00829588773970178
"d_apra_2014",-0.00276702857614631,0.00403778266550772,0.00224052536655175,0.00303760839258792
"d_apra_2017",-0.0100421509336397,-0.0095986034489731,0.00251028489713912,0.00259743043334503
"d_jobkeeper_2020",0.0206569315420818,0.012843104784087,0.00835199549277645,0.00864801999214826
"d_recession_1991",NA,-0.00211255863224056,NA,0.00131618673804313
