"specification","pass_signs","pass_coint","pass_lambda","pass_stability","bic","is_preferred"
"Spec1_LogNetWorth",TRUE,FALSE,TRUE,FALSE,-824.389109401419,FALSE
"Spec2_LogNetWorth_CCI",TRUE,FALSE,TRUE,TRUE,-496.552410187317,FALSE
"Spec3_LevelNetWorth",TRUE,FALSE,TRUE,FALSE,-826.760910033592,FALSE
"Spec4_Disagg_NoCCI",TRUE,TRUE,TRUE,FALSE,-813.664588031468,FALSE
"Spec5_FullDisagg",TRUE,TRUE,TRUE,TRUE,-490.97001391167,FALSE
"Spec6_Preferred",TRUE,TRUE,TRUE,TRUE,-493.601303946337,TRUE
"Spec7_CohortBurden",FALSE,TRUE,TRUE,FALSE,-497.590799209573,FALSE
"Spec7b_RBABurden",FALSE,TRUE,TRUE,FALSE,-363.747722855673,FALSE
"Spec8_CCI_Interactions",TRUE,NA,TRUE,FALSE,-816.250247363871,FALSE
"Spec9_KalmanCCI",FALSE,NA,TRUE,FALSE,-797.932423017011,FALSE
"Spec10_WilliamsPrior",TRUE,NA,TRUE,FALSE,-386.507276145714,FALSE
