"term","williams_estimate","williams_se","williams_t","williams_implied_ols","ours_ols","ours_struct","ours_t","ols_rel_diff_pct","struct_rel_diff_pct","williams_note","ours_source"
"lambda",-0.286,0.083,-3.45,-0.286,-0.218304071861814,-0.218304071861814,-2.21734112946731,23.6699049434217,-176.330095056578,"Speed of adjustment, FIML","Spec 6 ecm_lag (OLS == structural for ecm_lag itself)"
"ha_y",0.0488,0.0095,5.14,0.0139568,0.00618613299721876,0.02833723138767,1.2308816507904,-55.6765662815347,-41.9319028941189,"Housing wealth MPC at CCI=0; falls to 0.0452 at peak","Spec 6 (CCI=0 by construction)"
"ha_y_at_peak",0.0452,NA,NA,0.0129272,NA,NA,NA,NA,NA,"Housing wealth MPC at CCI peak (paper text p.13)","Not estimated in Spec 6"
"ifa_y",0.022,NA,NA,0.006292,-0.00940121755997333,0.0430647833537628,NA,-249.415409408349,95.7490152443763,"Illiquid financial MPC; calibrated, not freely estimated (p.18)","Spec 6 eq_y + super_y aggregated"
"nla_y",0.159,0.041,3.88,0.045474,0.00875270796069066,0.0400941122446452,0.195815297461659,-80.7522805104221,-74.7835772046256,"Net liquid (= LA - total household debt) MPC","Spec 6 NLA fix; restriction accepted"
"ln_hp_over_y_at_cci0",-0.13,0.027,-4.81,-0.03718,-0.00025808666110608,-0.00118223475588421,-0.0126155479791863,99.3058454515705,-100.90941135068,"log(p^h/y) coef at CCI=0; +0.026 at CCI peak (sign reversal)","Spec 6 (no CCI interaction)"
"real_rate_at_peak",-0.871,0.435,-2,-0.249106,-0.00062795246264529,-0.00287650366431456,-0.551909940647121,99.7479175681656,-100.33025300394,"r x CCI coef; effect at CCI=1","Spec 6 (no r x CCI interaction)"
"ln_yp_over_y_at_cci0",0.2,NA,NA,0.0572,0.302067278221567,1.38369969760699,1.28799421832083,428.089647240502,591.849848803495,"psi_0 calibrated; weight on permanent income at CCI=0","Spec 6 (free, not calibrated)"
"ln_yp_over_y_at_peak",0.95,NA,NA,0.2717,0.455643711712954,2.08719749396784,NA,67.7010348593869,119.704999365036,"psi at CCI=1 (psi_0 + psi_1 x CCI; capped at 0.95)","Spec 6 sum of base + post-2008 break"
"demftb_d4",-0.138,0.058,-2.38,-0.039468,NA,NA,NA,NA,NA,"First-home-buyer cohort share, change form","Not in Spec 6 (we use prime_age_share in level)"
"wapop_d4",-0.069,NA,NA,-0.019734,NA,NA,NA,NA,NA,"Working-age population share, change form","Not in Spec 6"
"dsrisk",0.05,0.022,2.27,0.0143,NA,NA,NA,NA,NA,"Downside-risk index on housing returns","Not in Spec 6 (DSRISK not constructed)"
"dlog_c_lag",-0.11,0.041,-2.68,-0.03146,NA,NA,NA,NA,NA,"Lagged consumption growth (durables habit)","Not in Spec 6 short-run set"
