"draw","knots","adj_r2","lambda","n_obs","n_aliased"
1,"1983-08-03, 1983-12-08, 1994-11-22, 1996-07-05",0.725487461759568,-0.0818800822568268,133,2
2,"1995-04-08, 1996-07-22, 1997-04-10, 1999-10-11",0.724640912163294,-0.0868312112558034,133,0
3,"1980-10-26, 1989-03-07, 1991-09-13, 1996-05-16",0.726156529172874,-0.083456528892496,133,2
4,"1984-06-25, 1988-03-30, 1995-07-19, 2005-04-07",0.725480483313153,-0.0782524339225026,133,2
5,"1980-07-06, 1986-10-21, 1989-10-18, 1993-03-17",0.72913477445502,-0.07612690407366,133,3
6,"1984-06-25, 1997-09-05, 2000-03-16, 2004-10-29",0.729769452488882,-0.0924539546849919,133,1
7,"1988-08-10, 2000-03-12, 2003-08-21, 2005-04-28",0.736551557145226,-0.13853534174258,133,1
8,"1979-03-23, 1988-01-20, 1998-02-12, 1999-06-17",0.728063565364054,-0.0746537368205393,133,2
9,"1987-07-07, 1989-03-17, 1991-10-21, 2000-04-06",0.725832247611969,-0.0803588873901533,133,2
10,"1986-07-03, 2001-05-01, 2005-08-30, 2007-05-04",0.723899893566315,-0.0880179819521063,133,1
11,"1980-12-14, 1984-06-14, 1997-12-27, 2004-03-06",0.732590535426374,-0.0919071870548867,133,2
12,"1991-02-02, 1994-06-19, 1995-09-04, 1995-09-26",0.723173093364457,-0.0792555783786282,133,0
13,"1979-01-02, 1984-11-03, 1986-03-13, 2006-05-22",0.730075279860702,-0.0688491475478168,133,3
14,"1990-03-02, 1991-07-01, 1992-06-08, 1995-06-26",0.724361502994253,-0.0761718372206796,133,0
15,"1980-05-08, 1988-06-07, 1992-09-17, 2004-03-02",0.729354277753396,-0.0905502628901772,133,2
16,"1979-03-29, 1980-10-02, 1990-03-08, 1991-02-18",0.723250005490353,-0.0681061619565223,133,2
17,"1979-08-03, 1992-02-10, 1998-07-05, 1998-10-31",0.726586084653545,-0.0738874103688878,133,1
18,"1984-04-05, 1992-05-13, 1994-06-12, 2004-11-27",0.724286857607696,-0.0793929435157434,133,1
19,"1981-05-22, 1983-02-09, 1984-06-07, 2002-09-11",0.727064365926466,-0.0915279615467108,133,3
20,"1979-10-13, 1981-02-10, 1986-09-27, 2004-10-18",0.726801171472522,-0.0754544530389698,133,3
21,"1985-03-06, 1989-03-30, 1993-02-14, 2006-01-25",0.728588354093533,-0.0746545763934077,133,2
22,"1983-01-25, 1991-03-11, 1993-07-12, 2007-09-04",0.724146075169643,-0.0784727002187357,133,1
23,"1984-07-06, 1995-09-13, 1999-11-19, 2002-11-11",0.734092583917753,-0.140073413070755,133,1
24,"1980-03-19, 1999-02-17, 2004-02-06, 2004-07-26",0.741993723190435,-0.127186130402796,133,1
25,"1989-10-13, 1992-06-27, 2000-09-30, 2004-05-27",0.727625276104407,-0.0999486201610345,133,1
26,"1983-10-13, 1985-09-06, 1987-07-24, 1989-12-12",0.727169105914394,-0.0682082249600894,133,4
27,"1987-03-08, 1992-04-08, 1993-08-16, 1999-07-05",0.727455901745226,-0.0827324962432015,133,1
28,"1985-11-20, 1990-06-25, 2004-07-06, 2007-02-11",0.725054247409368,-0.0840992388406583,133,1
29,"1981-02-07, 1991-06-17, 1999-04-19, 2003-11-22",0.741568853559881,-0.129667049787967,133,1
30,"1984-04-11, 1986-04-20, 1994-12-12, 1995-11-11",0.72546059429772,-0.0797828724981662,133,2
31,"1982-07-03, 1989-12-05, 1992-06-14, 1997-07-02",0.725268733389379,-0.0727163634495823,133,2
32,"1981-04-17, 1983-01-12, 1998-11-23, 2004-09-28",0.737534936565625,-0.0917396199823284,133,2
33,"1981-02-17, 1982-12-20, 1996-06-16, 2006-06-21",0.72963815899676,-0.079710758456914,133,2
34,"1986-05-23, 1994-05-09, 1995-03-22, 2005-07-06",0.723291316822155,-0.0767229993502097,133,1
35,"1980-11-07, 1983-07-10, 2002-05-10, 2002-07-01",0.726459466861135,-0.087360425929528,133,3
36,"1989-06-23, 1991-11-01, 1994-08-08, 2004-12-29",0.723475750521195,-0.0793558360334352,133,1
37,"1990-05-27, 1993-12-20, 2001-12-02, 2006-10-26",0.725375459128637,-0.0886268823474011,133,0
38,"1982-10-12, 1983-07-17, 1999-10-21, 2000-01-04",0.7279208564558,-0.0744950707876437,133,2
39,"1980-06-12, 1993-02-22, 2006-11-30, 2007-02-13",0.729337122808271,-0.070546144811436,133,1
40,"1981-09-21, 1995-09-11, 1997-10-09, 2001-07-03",0.724630292935549,-0.0807442796759532,133,1
41,"1987-03-17, 1991-08-07, 1995-08-22, 1997-04-29",0.723157405285964,-0.0782138425229121,133,1
42,"1991-01-24, 1993-09-24, 2006-06-01, 2006-09-25",0.725641035352827,-0.0795069171859952,133,0
43,"1990-08-22, 1990-09-21, 1994-07-30, 2001-10-09",0.722742866426819,-0.0821038029081325,133,1
44,"1985-04-07, 1995-05-04, 1997-11-24, 2003-12-16",0.732420939722742,-0.101000506650804,133,1
45,"1980-07-28, 1982-01-09, 1989-09-16, 2002-02-06",0.72615150022384,-0.0838141681261892,133,3
46,"1982-08-28, 1984-01-17, 1987-09-12, 1993-11-24",0.728382538671666,-0.0781808888802073,133,3
47,"1983-08-19, 1992-11-22, 1999-01-20, 2003-01-22",0.740603233154064,-0.139119349726796,133,1
48,"1981-02-19, 1982-03-22, 1983-04-06, 2000-07-09",0.726586457449209,-0.0781184384420256,133,3
49,"1982-04-13, 1982-12-08, 1985-11-08, 2007-07-26",0.725073935716993,-0.0724208566252926,133,3
50,"1995-03-05, 2000-01-31, 2001-02-03, 2005-06-05",0.724934750546737,-0.0868845265525425,133,0
51,"1988-06-19, 1989-12-13, 1996-07-05, 1999-11-08",0.728643316064182,-0.0879362744372722,133,2
52,"1982-02-23, 1983-10-11, 1984-06-26, 2003-01-25",0.729829120524825,-0.101307168324604,133,3
53,"1985-05-27, 1986-03-04, 1989-08-01, 2007-09-11",0.725073935716993,-0.0724208566252926,133,3
54,"1982-11-02, 1985-05-21, 1991-07-02, 1997-10-11",0.723519863020663,-0.0670110818167362,133,2
55,"1980-11-28, 1982-08-28, 1994-02-09, 1999-11-24",0.728674063346057,-0.0843255550157675,133,2
