"variable","symbol","section","Italy_S1_coef","Italy_S1_t","Italy_S2_coef","Italy_S2_t","Italy_S3_coef","Italy_S3_t","Italy_S4_coef","Italy_S4_t","Italy_S5_coef","Italy_S5_t","Italy_S6_coef","Italy_S6_t","Aus_S1_coef","Aus_S1_t","Aus_S2_coef","Aus_S2_t","Aus_S3_coef","Aus_S3_t","Aus_S4_coef","Aus_S4_t","Aus_S5_coef","Aus_S5_t","Aus_S6_coef","Aus_S6_t"
"Speed of adjustment","lambda","long_run",0.0531,2.43,0.0632,2.92,0.0398,2.16,0.103,3.92,0.289,10.46,0.298,10.91,0.0402,0.9167,0.067,1.2922,0.0414,0.9432,0.1258,2.6896,0.1657,3.0783,0.162,2.888
"Constant","alpha0","long_run",-0.293,-1.63,-0.299,-2.04,-0.01,-0.0643,0.151,0.364,0.369,2.94,0.298,2.43,0.5162,1.7591,-0.0836,-0.2178,0.3683,2.1296,0.1805,3.4032,0.4092,1.8163,0.4206,1.7898
"Adjusted r_t","alpha1","long_run",0.769,1.35,0.667,1.49,0.982,1.28,-0.0308,-0.113,-0.361,-4.7,-0.35,-4.78,0.0074,0.4271,0.0211,1.4894,0.0056,0.34,-6e-04,-0.1588,-5e-04,-0.09,-7e-04,-0.1125
"ln(y_p/y)","alpha2","long_run",1.48,3.13,1.28,3.63,1.43,2.41,0.704,3.56,0.574,10.55,0.615,11.22,-0.0665,-1.4187,-0.0402,-1.5017,-0.0662,-1.4527,-0.0385,-6.0026,-0.0062,-0.2841,-0.3774,-1.0797
"ln(y_p/y) x post-2008","alpha2_post2008","long_run",,,,,,,,,,,,,,,,,,,,,,,0.3691,1.0181
"ln(A_{t-1}/y_t)","gamma","long_run",0.172,2.1,0.173,2.6,,,,,,,,,-0.1585,-1.1888,0.0923,0.49,,,,,,,,
"A_{t-1}/y_t","gamma_netw","long_run",,,,,0.0077,0.436,,,,,,,,,,,-0.0227,-1.2216,,,,,,
"NFA_{t-1}/y_t","gamma_1_nfa","long_run",,,,,,,0.0594,7.74,,,,,,,,,,,,,,,,
"NLA_{t-1}/y_t","gamma_1_nla","long_run",,,,,,,,,0.137,14.84,0.137,15.57,,,,,,,-0.024,-0.6257,0.1717,1.1609,0.173,1.1578
"BONDS_{t-1}/y_t","gamma_1_smlb","long_run",,,,,,,,,0.054,6.68,0.0623,7.63,,,,,,,,,,,,
"ILFA_{t-1}/y_t","gamma_1_ilapen","long_run",,,,,,,,,0.0365,2.15,0.0301,1.83,,,,,,,,,,,,
"Equities/income [Australia]","gamma_eq","long_run",,,,,,,,,,,,,,,,,,,0.188,1.1605,0.1632,1.1002,0.3151,1.3673
