date,cons_real,cons_nom,cons_deflator,cons_deflator_norm,ydi_nom,ydi_ann_nom,ydi_ann_r,ydi_ann_8qma,pop_millions,prime_age_share,cons_real_pc,ydi_real_pc,ln_cons_real_pc,ln_ydi_real_pc,d_ln_cons_pc,d_ln_ydi_pc,unemp_rate,fin_deposits,fin_equities,fin_super,fin_loans,housing_wealth,closing_net_worth,fin_deposits_r,fin_equities_r,fin_super_r,fin_loans_r,housing_wealth_r,eq_y,super_y,ilfa_y,nla_y,nla_y_unrestricted,ha_y,debt_y,networth_y,ln_networth_y,hpi,ln_hpi,ln_hp_over_y,mortgage_rate,hicp_4q_ann,real_rate,mortgage_burden,housing_loan_flow,fhb_loans,non_fhb_loans,cci_ratio,fhb_share,ln_y_over_c,d2000_gst,d2008_gfc,d2020_covid,d2020_rebound,d_neg_gearing_8587,d_recession_1991,d_apra_2014,d_apra_2017,d_jobkeeper_2020,compensation_of_employees,prop_inc_rec,social_assistance_benefits,prop_inc_pay,gos_dwellings,gross_mixed_income,income_tax_payable,total_income_rec,total_income_pay,wage_share,labour_force,pop_total_thousands,m3_aggregate,credit_total_d02,m3_household_proxy,labour_transfer_nom,labour_transfer_real_pc,ln_labour_transfer_real_pc,scaled_income_real_pc,ln_scaled_income_real_pc,property_tax_share,npy_rec_nom,npy_pay_nom,npy_nom,npy_real_pc,ln_npy_real_pc,housing_wealth_proxy,networth_y_raw_proxy,networth_y_proxy,ln_networth_y_proxy,ha_y_proxy,fin_deposits_proxy,fin_loans_proxy,nla_y_proxy,eq_y_proxy,super_y_proxy,networth_y_disagg_proxy,ln_networth_y_disagg_proxy,lf_share,mortgage_interest_burden_rba,mortgage_payment_burden_rba,sdmma_1979_01,sdmma_1986_01,sdmma_1990_09,sdmma_1992_01,sdmma_1993_01,sdmma_1998_09,sdmma_2007_09,sdmma_2008_12,sdmma_2009_01,sdmma_2014_12,sdmma_2017_03,sdmma_2019_01,sdmma_2019_09,sdmma_2020_04,sdmma_2021_12,cci_kalman,cci_pca,cci_creditgap,macropru_intensity
1976-07-01,             85867,             12982,15.118730129153226,18.745266105594556,             16914,             67656,35348.128724680777,,10.210529859977806,0.37959880622595787,8409.6517200907183,8837.0321811701942,9.0371353395162135,9.0867063731510918,,,4.9759306038797009,,,,,,,,,,,,,,,,,,,,,33.248848676551532,3.5040201402332332,-5.2947516542207689,9.8800000000000008,,,,,,,,,0.049571033634878248,0,0,0,0,0,0,2.6308329907348028e-27,4.8206500140909104e-29,0,             12890,              1885,              1466,               760,              1024,              2763,              2369,             20844,              3930,60.700000000000003,6229.2354600012022,           10200.4,36.853000000000002,35.046687079278762,         22.369771,             14356,7500.5577623790532,8.9227326650764223,8168.7949717746233,9.0080766827008656,0.13956054500095952,             17935,2839.3810688927269,15095.618931107274,7886.9853546693275,8.9729692565012904,181523.47306314972,3.0136757133609691,5.0494811590754693,1.6192854972319386,2.6830358440219602,32165.615443423714,18384.773044624708,0.20368987818965067,0.59891463458174155,0.066139455175122291,3.5517798119684745,1.2674488333347318, 610.0795497810476,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.9909210339143697,,,
1976-10-01,             86793,             13548,15.609553765856694,19.353823808677088,             17301,             69204,34881.470951784388,,10.251080018277957,0.3798969774958284,8466.7176380679593,8720.3677379460969,9.0438981845646431,9.0734166877966302,0.006762845048429611,-0.013289685354461511, 4.866681462223772,,,,,,,,,,,,,,,,,,,,,34.543953370623818,3.5422325239169727,-5.2751983518159289,9.8800000000000008,,,,,,,,,0.029518503231987125,0,0,0,0,0,0,3.9366227771783726e-27,7.2133353630232291e-29,0,             13170,              1943,              1575,               803,              1080,              2976,              2675,             21614,              4313,60.299999999999997,6242.9917749042124,           10244.6,40.541333333333334,36.465119818851278,24.446423999999997,             14745,7432.0456792101731,8.9135564267624847,8076.2067085781346,8.9966775745209873,0.13986305172573332,             18591,3135.8663366336632,15455.133663366338,7789.9802892124426, 8.960593608593614,189343.13495859187,3.0892659233366837, 5.176134248985151,1.6440584936831792, 2.736014319383155,35151.646091991024,19128.853760074817,0.23152985856187802,0.59891463458174155,0.078633972374529376, 3.645092784901304,1.2933818205279428,609.00819852862207,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99094502236728366,,,
1977-01-01,             86664,             13837,15.966260500323086,19.796093933357504,             17652,             70608,34638.872126080714,,10.296998789085452,0.38022435466304361,8416.4329602390135,8659.7180315201786,9.0379413785495686,9.0664374411557471,-0.0059568060150745339,-0.0069792466408831189,5.1258724805897575,,,,,,,,,,,,,,,,,,,,,35.337985180362544,3.5649584528260569,-5.2680878056074354,9.8800000000000008,,,,,,,,,0.02849606260617854,0,0,0,0,0,0,5.8905293283064216e-27,1.0793608104166236e-28,0,             13497,              2026,              1619,               839,              1130,              3025,              2862,             22222,              4570,              60.5,6309.5960909454052,           10293.5,42.268000000000001,37.461909301046838,25.572140000000001,             15116,7415.6071699784161,8.9113421352356887,8037.6626007492978,8.9918935986055448,0.14202142021420214,             19066,3324.5346953469534,15741.465304653047,7722.4479345826685,8.9518866827282704,194563.04165752782,3.1177087816894375,5.2237908952280572, 1.653223363460147,2.7555382061172646,36770.319253844544,19651.749072889404,0.24244519290951647,0.59891463458174155,0.091128489573936461,3.6880265231824589,1.3050914974207806,612.76069077850252,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99097072887994864,,,
1977-04-01,             87531,             14327,16.367915367127075,20.294093917253615,             18036,             72144, 34381.64119274127,,10.339605011750116,0.38057496797192042, 8465.603850488309,8595.4102981853175,9.0437666269891501, 9.058983653522878,0.0058252484395815429,-0.00745378763286908,5.7460539615893014,,,,,,,,,,,,,,,,,,,,,35.808221803642837,3.5781775263586222,-5.2722602059757664,9.8800000000000008,,,,,,,,,0.015217026533727918,0,0,0,0,0,0,8.7373520114314945e-27,1.601003037644752e-28,0,             13942,              2044,              1707,               885,              1183,              2982,              3020,             22838,              4803,61.100000000000001,6364.0275527918484,           10339.5,41.914000000000001, 39.46300011278084,25.609453999999999,             15649,7457.8385316202066,8.9170209101450766,8026.6244149027625,8.9905193468167184,0.14129958840528942,             19611,3491.2752430160258,16119.724756983975,7682.1716666718166, 8.946657555267965,197967.82172723411, 3.099041856942145,5.1925140447058045,1.6472179815705974,2.7440649496456269,36823.973257484366,20701.480259526023,0.22347656073905442,0.59891463458174155,0.10335138683422601,3.6698075318006489,1.3001392170402133,615.50006461171881,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99099815348326492,,,
1977-07-01,             87722,             14672,16.725564852602538,20.737532931013032,             18173,             72692, 33781.47755892422,,10.376499944513352,0.38095923297940382,8453.9103232380039, 8445.369389731055,9.0423843734572742,9.0413735689284156,-0.0013822535318759321,-0.01761008459446245,5.8811684892041756,,,,,,,,,,,,,,,,,,,,,35.754255080875645,3.5766692852985895,-5.2777737022703226,9.8800000000000008,10.628106393346325,-0.74810639334632434,,,,,,,-0.0010108045288585998,0,0,0,0,0,0,1.3016908407323924e-26,2.3851745784767515e-28,0,             14084,              2119,              1801,               911,              1243,              3032,              3315,             23329,              5156,60.700000000000003, 6389.461890418278,           10381.6,42.562666666666665,41.159044601981861,25.835538666666665,             15885,7382.0884144542888,8.9068118605507696,7913.7289020926719,8.9763543658737586,0.14411247803163443,             19967,3767.2671353251317,16199.732864674868,7528.3512935203489,8.9264313450967858,198374.80982935152,3.0843882201070021,5.1679615479713545,1.6424783260446012,2.7289771890902923,37149.061629897944,21591.190403512301,0.21402453126046392,0.59891463458174155,0.11571009406407431, 3.657626448996572,1.2968144258358039, 615.7627258309534,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99102729621019769,,,
1977-10-01,             87790,             15039,17.130652693928692,21.239789358433299,             18874,             75496,34108.851830840431,,10.420933779946472,0.38136568335124987,8424.3890090673758,8527.2129577101077,9.0388862314118281,  9.05101785294762,-0.0034981420454460732,0.0096442840192043633,5.9473356185727644,,,,,,,,,,,,,,,,,,,,,36.363261421304387,3.5935589633423244,-5.2944593438504182,9.8800000000000008,9.7446663171060663,0.13533368289393444,,,,,,,0.012131621535791837,0,0,0,0,0,0,1.947773131368683e-26,3.5690340687706676e-28,0,             14459,              2108,              1780,               942,              1314,              3020,              3003,             23785,              4911,61.299999999999997,6351.6567660085666,10430.299999999999,44.284666666666666,42.788135669213659,27.146500666666665,             16239,7336.7283681389445, 8.900648295831429,7931.9706629245266,8.9786567910605477,0.14387218835400462,             20363,3536.9518183729242,16826.048181627077,7601.9548628496877,8.9361607119953508,202617.69267754134,3.0433955884312813,5.0992774754317027,1.6290988582099477,2.6838202378608318, 39034.10102314617,22445.778155910448,0.21972452669327808,0.59891463458174155,0.1282046112634814,3.6306640103993328,1.2894155545234147,609.50936836690971,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99105815709577716,,,
1978-01-01,             88093,             15251,17.312385774125072,21.465114826866756,             19680,             78720,34930.596490556753,,10.498950000000001,0.38177468363872458,8390.6485886683895,8732.6491226391881,9.0348731014398123,9.0748240532759983,-0.0040131299720158609,0.023806200328378324,6.6447190000000003,,,,,,,,,,,,,,,,,,,,,36.979976187188647, 3.610376582021201,-5.3120006975417899,9.4633333333333347,8.4310616989792031,1.0322716343541316,,,,,,,0.039950951836186022,0,0,0,0,0,0,2.9145324316388451e-26,5.3404913413846177e-28,0,             14909,              2186,              1841,               953,              1385,              3142,              2988,             24610,              4930,60.899999999999999,6424.2980260000004,           10508.4,45.677333333333337,43.937774914734099,27.817496000000002,             16750,7432.5138620023581,8.9136194199229664,8082.5814923207727,8.9974665921124188,0.14510361641609101,             21039,3543.4303941487201, 17495.56960585128,7763.3470817383159,8.9571688451496687,207596.67617740494,2.9905255611967094,5.0106925605992281,1.6115741411916551,2.6371528985950832,39998.928864089736,23048.855318789658,0.21532105621570222,0.59891463458174155,0.14069912846288848,3.5920877178554154,1.2787335704801488,611.89909714781004,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99109073617709953,,,
1978-04-01,             90060,             15961,17.722629358205641,21.973763707163542,             19910,             79640,34415.963927493642,             73270,10.530933333333333,0.38216230577422017,8551.9485452381559,8603.9909818734104,9.0539144359933932,9.0599814422552036,0.019041334553580924,-0.014842611020794649,6.2674697999999998,,,,,,,,,,,,,,,,,,,,,36.679345587873478,3.6022138061133373,-5.3287409942026267,9.3800000000000008,8.2766434252179444,1.1033565747820564,,,,,,,0.0060670062618104481,0,0,0,0,0,0,4.3230912511700339e-26,7.9214872149859974e-28,0,             15027,              2234,              1934,               982,              1423,              3148,              2986,             24916,              5006,60.399999999999999,6433.9196129000002,10530.700000000001,45.973999999999997,45.854928997462778,27.768295999999996,             16961,7329.5977420168219,8.8996759150688014,7966.7943619451162,8.9830374778190745,0.14677315781024242,             21259,3585.7353507786161,17673.264649221383,7637.3987776073791, 8.940812350050928,206536.27653154256,2.9420463652880784,4.9294645820007092,1.5952303781000998,2.5933736380153509,39928.183916373615,24054.555019386517,0.19931728901289678,0.59891463458174155,0.15292202572317801,3.5445275873331674,1.2654048894207952,610.95435791382852,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99109803330870105,,,
1978-07-01,             89861,             16255,18.089048641791212,22.428076134090734,             20828,             83312,35140.036214925647,             75227,10.570933333333333,0.38253224438273709,8500.7630988118362,8785.0090537314118,9.0479112147795586,9.0808020312104691,-0.0060032212138345642,0.020820588955265507,6.2216332999999997,,,,,,,,,,,,,,,,,,,,,36.602250983745115,3.6001097408042502,-5.3721300383937685,9.3800000000000008,8.1520941218108369,1.2279058781891639,,,,,,,0.032890816430910519,0,0,0,0,0,0,6.4405420291363677e-26,1.1801432904654886e-27,0,             15293,              2363,              1952,              1015,              1477,              3791,              3072,             25997,              5168,58.700000000000003,6430.5331484999997,           10570.5,47.482999999999997,46.940554239539459,27.872521000000003,             17245,7273.7411720567588,8.8920260422986193,8029.3751128940858,8.9908619848460081,0.14770935107897065,             22157,3699.2368734854022,18457.763126514597,7785.2706058219965,8.9599888435640516,206885.01240282631,2.8178117606446409,4.7213067192714719,1.5520856085855987,2.4832558623346732,40078.049611001916,24624.051749332677,0.18549546117809246,0.59891463458174155,0.16528073295302634,3.4329466910475337,1.2334189859680189,608.32217418518701,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99110164864705252,,,
1978-10-01,             88945,             16615, 18.68008319748159,23.160882390262628,             21203,             84812,34502.270131367288,             77178,           10.6134,0.38289674872430079,8380.4435901784527, 8625.567532841822,9.0336561264639901,9.0624860406439716,-0.014255088315568543,-0.018315990566497575,6.1631881000000002,,,,,,,,,,,,,,,,,,,,, 37.35773550198045,3.6205399986215836,-5.3655349688854779,9.2966666666666669,9.0447838225220281,0.2518828441446388,,,,,,,0.028829914179981486,0,0,0,0,0,0,9.6372458983765376e-26,1.7658965711400238e-27,0,             15398,              2431,              2011,              1047,              1536,              3915,              3045,             26411,              5208,57.899999999999999,6432.2223274999997,           10612.9,49.727333333333334, 48.90833164131805,         28.792126,             17409,7082.1348478631935,8.8653306734201394,7853.8511903525077,8.9687592879699825,0.1502025671121881,             22444,3703.6331831433872,18740.366816856615,7623.7466193003183,8.9390232101674219,212003.47341907516,2.8391689786713572,4.7570912164415082,1.5596363924694785,2.4996872308054892,41400.354644426247,25656.307404544954,0.18563466537614126,0.59891463458174155,0.17777525015243342,3.4620117809158053,1.2418498596701817,606.04729186688519,,,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,-0.99110698223342519,,,
