"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","reset_pval","schwarz","loglik","specification","period"
146,0.846023747960906,0.730614537943575,2.34373869471508,0.00000732888453466815,0.000000527608985216812,"structural",0.0127066897013307,0.0454677493139913,NA,0.000004264583795896,-919.167721236023,496.960910280824,"Spec1_LogNetWorth","full"
86,0.994223916910288,0.769010000687929,2.40229899943894,0.000163240959198686,0.0000331846868110229,"structural",0.0240210358092428,0.150171678464944,0.0204983701634671,0.00615572338594191,-500.761704288045,281.561283217797,"Spec2_LogNetWorth_CCI","full"
146,0.844315132448492,0.731701532008062,2.3528582564012,0.00000891589450893008,0.000000650487065037243,"structural",0.0106125384101973,0.0402954795987967,NA,0.00000182215794039563,-919.758035882782,497.256067604203,"Spec3_LevelNetWorth","full"
146,0.848148847327014,0.729259517209313,2.38643063953897,0.0000434430714886949,0.0000049791016627946,"structural",0.00439656520511475,0.0130973246371311,NA,0.00000000628484468291046,-906.840825431474,498.272872311112,"Spec4_Disagg_NoCCI","full"
86,0.92946272389453,0.798122127521641,2.31224263267586,0.000357464216410358,0.000121146425183513,"structural",0.0437683357161407,0.0104955851975098,0.01265726670221,0.00000279304328780918,-492.996755639228,291.041850782149,"Spec5_FullDisagg","full"
86,0.9081120508917,0.807290270016865,2.17808157058784,0.000222867536448412,0.0000790897569651702,"structural",0.261024804530532,0.144522291937674,NA,0.000110885684596775,-493.832761396698,293.687027309011,"Spec6_Preferred","full"
86,0.845913789877227,0.832784329501461,2.19685322407701,0.00225655922858931,0.000968548955598103,"structural",0.228992831443569,0.024593840839275,NA,0.0146610477600775,-499.773885153118,301.111936483474,"Spec7_CohortBurden","full"
64,0.847312924374136,0.869337412559027,2.16447077991034,0.00232569646562706,0.00146945833187713,"structural",0.293631874942644,0.00113696340259204,NA,0.0457809070023544,-363.001639546807,227.24853369036,"Spec7b_RBABurden","full"
146,0.688764663993629,0.82145373770899,1.86702357118011,0.000000612353785984641,0.0000000905274917214571,"structural",0.268925445168521,0.0488500991510919,NA,0.00122859728236155,-948.475991882535,531.549472090914,"Spec8_CCI_Interactions","full"
146,0.835356952756861,0.737364620147429,2.20334543843429,0.0000555988513224638,0.0000090372526260889,"structural",0.111072886885708,0.0169720485388982,NA,0.0000000106375791279126,-895.942735945326,502.791040811455,"Spec9_KalmanCCI","full"
86,0.979028808420362,0.778167181344826,2.1656665286995,0.000862067446308401,0.000259333290670684,"structural",0.302867384200539,0.16590755427505,NA,0.0535985732272659,-493.656621111776,284.690262574043,"Spec10_WilliamsPrior","full"
126,0.522174711608506,0.202463099635706,1.84607717737173,0.0714319418714076,0.0397889927751138,"structural",0.339371960058486,0.0686299387463001,NA,0.48722381478799,-920.14283445365,489.089108668534,"Spec1_LogNetWorth","precovid"
66,0.528711117875056,0.189031552596638,1.96702414372021,0.00737173761467813,0.00490476694802169,"structural",0.922696291656788,0.318884116110963,NA,0.470452432096635,-469.465704908566,257.775953535428,"Spec2_LogNetWorth_CCI","precovid"
126,0.523990946727841,0.196905443868299,1.83752524988987,0.0756319254986718,0.0423756875969462,"structural",0.312799385610447,0.064191841980613,NA,0.417762434797556,-919.267845476038,488.651614179728,"Spec3_LevelNetWorth","precovid"
126,0.515117521729146,0.223874843708435,1.86767422784418,0.294514091382853,0.219523618985718,"structural",0.404466939513846,0.154659876166604,NA,0.0677196813619533,-912.393582508286,492.468905556279,"Spec4_Disagg_NoCCI","precovid"
66,0.486976495446992,0.312008502192617,2.09976640210421,0.653238295232981,0.609864679300415,"structural",0.581918390917503,0.869013458632592,0.918476278007215,0.446165161960207,-462.661345744871,266.94273817966,"Spec5_FullDisagg","precovid"
66,0.485543755516552,0.316050844525382,2.0989993658233,0.524394955878265,0.482963116874502,"structural",0.564659051721503,0.825256564020087,0.175113163804745,0.0408587167725181,-460.194001037006,267.803893196741,"Spec6_Preferred","precovid"
66,0.466401011956724,0.368917642130967,2.3755716177306,0.539750879033259,0.502882732257546,"structural",0.0435102933335544,0.255628079690697,0.275436892498521,0.153395220623062,-459.87460518608,271.833850013304,"Spec7_CohortBurden","precovid"
44,0.320729136566018,0.216688224111289,3.18010267609342,0.325402494659789,NA,"ok",0.00000412929498255064,0.0000133029291771601,NA,0.0328407274963727,-331.706811077578,201.803207061012,"Spec7b_RBABurden","precovid"
126,0.504799822856333,0.254654725031663,1.91092402463193,0.547620548373983,0.468113497015476,"structural",0.574140206434113,0.442490734836143,NA,0.534934490010303,-899.065341801853,497.895489970442,"Spec8_CCI_Interactions","precovid"
126,0.497656543213554,0.275599815725029,1.91000310510336,0.5300716463305,0.449251148620898,"structural",0.576262678349367,0.283418072423781,NA,0.254040745741186,-906.320974190069,499.105165211073,"Spec9_KalmanCCI","precovid"
66,0.492770851808092,0.302277243940758,2.12457881603115,0.396436545126307,0.346198783681006,"structural",0.498600827638844,0.673314764131745,NA,0.317429149790814,-469.823212653353,264.239189520861,"Spec10_WilliamsPrior","precovid"
