"date","cci_williams","ha_x_cci","hp_x_1_minus_cci","r_x_cci","yp_x_cci"
1976-07-01,0,NA,-0.246395957041274,NA,NA
1976-10-01,0,NA,-0.226842654636434,NA,NA
1977-01-01,0,NA,-0.219732108427941,NA,NA
1977-04-01,0,NA,-0.223904508796272,NA,NA
1977-07-01,0,NA,-0.229418005090828,0,0
1977-10-01,0,NA,-0.246103646670924,0,0
1978-01-01,0,NA,-0.263645000362295,0,0
1978-04-01,0,NA,-0.280385297023132,0,0
1978-07-01,0,NA,-0.323774341214274,0,0
1978-10-01,0,NA,-0.317179271705983,0,0
1979-01-01,0,NA,-0.34124877323587,0,0
1979-04-01,0,NA,-0.346284787942669,0,0
1979-07-01,0,NA,-0.339241296768027,0,0
1979-10-01,0,NA,-0.321148194884479,0,0
1980-01-01,0,NA,-0.331522607744156,0,0
1980-04-01,0,NA,-0.333537273649874,0,0
1980-07-01,0,NA,-0.326975561632784,0,0
1980-10-01,0,NA,-0.3699884348843,0,0
1981-01-01,0,NA,-0.304656028852707,0,0
1981-04-01,0,NA,-0.303585993119039,0,0
1981-07-01,0,NA,-0.319348124205542,0,0
1981-10-01,0,NA,-0.321771784171329,0,0
1982-01-01,0,NA,-0.332326043698672,0,0
1982-04-01,0,NA,-0.352641157591666,0,0
1982-07-01,0,NA,-0.368849754116458,0,0
1982-10-01,0,NA,-0.382875206581219,0,0
1983-01-01,0,NA,-0.393042071496819,0,0
1983-04-01,0,NA,-0.345411125751865,0,0
1983-07-01,0,NA,-0.425961284537787,0,0
1983-10-01,0,NA,-0.402733008202251,0,0
1984-01-01,0,NA,-0.392359387065491,0,0
1984-04-01,0,NA,-0.387290096555741,0,0
1984-07-01,0,NA,-0.32672967703565,0,0
1984-10-01,0,NA,-0.347637052176615,0,0
1985-01-01,0,NA,-0.321966313120345,0,0
1985-04-01,0,NA,-0.292708504863661,0,0
1985-07-01,0,NA,-0.312919064543841,0,0
1985-10-01,0,NA,-0.322104540922253,0,0
1986-01-01,0,NA,-0.332946686388744,0,0
1986-04-01,0,NA,-0.333764484311112,0,0
1986-07-01,0,NA,-0.341432443564591,0,0
1986-10-01,0,NA,-0.354100004005479,0,0
