"specification","period","n_obs","coint_n_vars","coint_adf_stat","coint_adf_5pct_cv","coint_adf_pass","po_stat","po_pass","johansen_r1_pass","note"
"Spec1_LogNetWorth","1988-07 to 2026-01",151,5,-1.84792289875825,-4.42,FALSE,5.11094178977065,FALSE,TRUE,""
"Spec2_LogNetWorth_CCI","1988-07 to 2026-01",151,5,-1.84792289875825,-4.42,FALSE,5.11094178977065,FALSE,TRUE,""
"Spec3_LevelNetWorth","1988-07 to 2026-01",151,5,-2.05552616284768,-4.42,FALSE,4.63919115631495,FALSE,TRUE,""
"Spec4_Disagg_NoCCI","1988-07 to 2026-01",151,8,-3.24000886542231,-5.23,FALSE,NA,NA,TRUE,""
"Spec5_FullDisagg","1988-07 to 2026-01",151,8,-3.24000886542231,-5.23,FALSE,NA,NA,TRUE,""
"Spec6_Preferred","1988-07 to 2026-01",151,9,-3.24047322023704,-5.47,FALSE,NA,NA,TRUE,""
"Spec6b_LongHistSRCCI","1977-07 to 2026-01",195,9,-3.55892995482674,-5.47,FALSE,NA,NA,TRUE,""
"Spec7_CohortBurden","2002-07 to 2026-01",95,11,-3.4938205970871,-5.92,FALSE,NA,NA,TRUE,""
"Spec7b_RBABurden","2009-01 to 2025-07",67,12,-3.05945886288089,-6.13,FALSE,NA,NA,TRUE,""
"Spec8_CCI_Interactions","1988-07 to 2026-01",151,10,-3.51971510779108,-5.7,FALSE,NA,NA,TRUE,""
"Spec9_KalmanCCI",NA,NA,10,NA,NA,NA,NA,NA,NA,"skipped: missing ha_x_cci_k, hp_x_1_minus_cci_k, r_x_cci_k, yp_x_cci_k"
"Spec10_WilliamsPrior",NA,NA,5,NA,NA,NA,NA,NA,NA,"calibrated-offset long run; static EG regression not applicable"
"Spec11_LIVES_Headline","1988-07 to 2026-01",151,9,-3.24182266173299,-5.47,FALSE,NA,NA,TRUE,""
"Spec12_LIVES_Calibrated",NA,NA,3,NA,NA,NA,NA,NA,NA,"calibrated-offset long run; static EG regression not applicable"
