"specification","term","base_estimate","base_se","drehmann_estimate","drehmann_se","n_obs","maturity_years","maturity_quarters"
"Spec3_LevelNetWorth","(Intercept)",0.0201476387887192,0.0901454357957878,0.0139447632900431,0.0890629409737208,151,25,100
"Spec3_LevelNetWorth","networth_y",0.00120030429714894,0.00269901162225701,0.00142887546226449,0.0026501609937847,151,25,100
"Spec3_LevelNetWorth","ln_hp_over_y",0.00466965864718583,0.0145576370525225,0.00373102689784273,0.0143309000812839,151,25,100
"Spec3_LevelNetWorth","real_rate",-0.000213203086766976,0.000492930502535692,-0.00017136571264796,0.000594550784161659,151,25,100
"Spec3_LevelNetWorth","ln_yp_over_y",0.194450855236715,0.0426952967009583,0.193706547998439,0.0426758691877062,151,25,100
"Spec3_LevelNetWorth","ecm_lag",-0.18940330734826,0.0388290483645985,-0.18874927517489,0.0388380306880797,151,25,100
"Spec3_LevelNetWorth","d2000_gst",0.00300323874168732,0.00848110694297547,0.00309240406749476,0.00852561184771589,151,25,100
"Spec3_LevelNetWorth","d2008_gfc",-0.0116948430341161,0.0084264858685974,-0.0118239653310252,0.00842165590157372,151,25,100
"Spec3_LevelNetWorth","d2020_covid",-0.158976807326077,0.0103566246895844,-0.158905633111229,0.0103591488115847,151,25,100
"Spec3_LevelNetWorth","d2020_rebound",0.0251043238298144,0.0110622448376679,0.0252696141220453,0.0110619734211289,151,25,100
"Spec3_LevelNetWorth","d_recession_1991",-0.00270948361803292,0.00848057063855757,-0.00288323276370914,0.0084780435725256,151,25,100
"Spec3_LevelNetWorth","d_apra_2014",0.00684469476347114,0.00614227288059488,0.00677768989884186,0.0062047660763236,151,25,100
"Spec3_LevelNetWorth","d_apra_2017",-0.00990592312831258,0.00469830681196507,-0.0100818396016245,0.0046887181085968,151,25,100
"Spec3_LevelNetWorth","d_jobkeeper_2020",0.0137729693058637,0.00690499210858361,0.0138660810480128,0.00690877039702981,151,25,100
