"spec","term","ols","gamma","gamma_se","ci_lo","ci_hi","williams","boot_gamma_med","boot_ci_lo","boot_ci_hi","williams_in_ci","lambda","n_obs"
"Spec6","ha_y",0.0039,0.0167,0.0333,-0.0485,0.082,0.0488,0.0145,-0.0404,0.1109,TRUE,-0.2325,91
"Spec6","nla_y",0.0079,0.0341,0.1531,-0.2659,0.3342,0.159,0.0308,-0.1876,0.3585,TRUE,-0.2325,91
"Spec6","eq_y",-0.0186,-0.08,0.2057,-0.4832,0.3231,0.011,-0.0872,-0.2984,0.176,TRUE,-0.2325,91
"Spec6","super_y",0.0052,0.0226,0.0343,-0.0446,0.0897,0.011,0.0232,-0.0782,0.1312,TRUE,-0.2325,91
"Spec6","ln_hp_over_y",0.003,0.013,0.1788,-0.3374,0.3635,-0.13,0.0179,-0.3824,0.2934,TRUE,-0.2325,91
"Spec6","ln_yp_over_y",0.3261,1.4025,0.5552,0.3143,2.4907,0.2,1.4147,0.6559,2.1185,FALSE,-0.2325,91
"Spec6","WEALTH_AGGREGATE",-0.0015,-0.0066,0.3408,-0.6746,0.6614,0.2298,NA,NA,NA,TRUE,-0.2325,91
"Spec11","ha_x_cci",0.0032,0.0075,0.0082,-0.0086,0.0235,0.0488,0.0072,-0.0075,0.024,FALSE,-0.4231,151
"Spec11","nla_y",0.0251,0.0594,0.0197,0.0208,0.0979,0.159,0.0592,0.0121,0.1125,FALSE,-0.4231,151
"Spec11","ilfa_y",0.0143,0.0339,0.012,0.0103,0.0575,0.022,0.0339,0.0051,0.067,TRUE,-0.4231,151
"Spec11","hp_x_1_minus_cci",0.0268,0.0634,0.0162,0.0316,0.0952,-0.13,0.0625,0.0341,0.0955,FALSE,-0.4231,151
"Spec11","ln_yp_over_y",0.4375,1.0339,0.0854,0.8666,1.2013,0.2,1.0345,0.8975,1.1732,FALSE,-0.4231,151
"Spec11","yp_x_cci",-0.5364,-1.2678,0.5736,-2.392,-0.1436,0.93,-1.2743,-1.7275,-0.8882,FALSE,-0.4231,151
"Spec11","WEALTH_AGGREGATE",0.0426,0.1007,0.0333,0.0353,0.1661,0.2298,NA,NA,NA,FALSE,-0.4231,151
