"variant","knot","sign_prior","estimate","verdict"
"williams_2009","1979_01",1,NA,"aliased"
"williams_2009","1992_01",-1,0.000893286171264643,"sign-violator (DROPPED)"
"williams_2009","1998_01",1,-0.00553157993598919,"sign-violator (DROPPED)"
"williams_2010","1979_01",1,NA,"aliased"
"williams_2010","1992_01",-1,-0.0000244375565168864,"surviving"
"williams_2010","1998_01",1,-0.00564264667813747,"sign-violator (DROPPED)"
"williams_2010","2007_01",-1,-0.00966042590024921,"surviving"
"six_with_macropru","1979_01",1,NA,"aliased"
"six_with_macropru","1992_01",-1,0.000218178214968039,"sign-violator (DROPPED)"
"six_with_macropru","1998_01",1,-0.00627732978440476,"sign-violator (DROPPED)"
"six_with_macropru","2007_01",-1,-0.0108206516396191,"surviving"
"six_with_macropru","2014_12",-1,0.000244672147116676,"sign-violator (DROPPED)"
"six_with_macropru","2017_03",-1,-0.0158510603699609,"surviving"
"eight_full_australia","1979_01",1,NA,"aliased"
"eight_full_australia","1986_01",1,NA,"aliased"
"eight_full_australia","1992_01",-1,0.00219031393908915,"sign-violator (DROPPED)"
"eight_full_australia","1998_01",1,-0.00378170435331672,"sign-violator (DROPPED)"
"eight_full_australia","2007_01",-1,-0.0042477982716556,"surviving"
"eight_full_australia","2014_12",-1,0.00177405360087168,"sign-violator (DROPPED)"
"eight_full_australia","2017_03",-1,0.00126708508716211,"sign-violator (DROPPED)"
"eight_full_australia","2019_09",1,-0.0276710639657425,"sign-violator (DROPPED)"
"australia_within_sample","1992_01",-1,0.000218178214968039,"sign-violator (DROPPED)"
"australia_within_sample","1998_01",1,-0.00627732978440476,"sign-violator (DROPPED)"
"australia_within_sample","2007_01",-1,-0.0108206516396191,"surviving"
"australia_within_sample","2014_12",-1,0.000244672147116676,"sign-violator (DROPPED)"
"australia_within_sample","2017_03",-1,-0.0158510603699609,"surviving"
"australia_within_sample_plus","1990_09",-1,-0.00162538189634016,"surviving"
"australia_within_sample_plus","1992_01",-1,0.00319873470100531,"sign-violator (DROPPED)"
"australia_within_sample_plus","1998_01",1,-0.0038798443439997,"sign-violator (DROPPED)"
"australia_within_sample_plus","2007_01",-1,-0.0048051283291486,"surviving"
"australia_within_sample_plus","2014_12",-1,0.00187435539495192,"sign-violator (DROPPED)"
"australia_within_sample_plus","2017_03",-1,0.00144667491908994,"sign-violator (DROPPED)"
"australia_within_sample_plus","2019_09",1,-0.0276551244049147,"sign-violator (DROPPED)"
"maximal_gets","1979_01",1,NA,"aliased"
"maximal_gets","1986_01",1,NA,"aliased"
"maximal_gets","1990_09",-1,0.00812071921530566,"sign-violator (DROPPED)"
"maximal_gets","1992_01",-1,-0.0132931386965209,"surviving"
"maximal_gets","1993_01",-1,0.00946473577200798,"sign-violator (DROPPED)"
"maximal_gets","1998_09",1,-0.0149177380770406,"sign-violator (DROPPED)"
"maximal_gets","2007_09",-1,-0.00657762660083194,"surviving"
"maximal_gets","2008_12",-1,0.0186911123430981,"sign-violator (DROPPED)"
"maximal_gets","2009_01",1,NA,"aliased"
"maximal_gets","2014_12",-1,0.00461641049476522,"sign-violator (DROPPED)"
"maximal_gets","2017_03",-1,-0.00165780078256547,"surviving"
"maximal_gets","2019_01",-1,-0.0010059758643222,"surviving"
"maximal_gets","2019_09",1,-0.130286239662016,"sign-violator (DROPPED)"
"maximal_gets","2020_04",1,0.106471842542324,"surviving"
"maximal_gets","2021_12",-1,0.002251154506556,"sign-violator (DROPPED)"
