"specification","sample_variant","lambda","lambda_se","lambda_signed_correctly","lambda_sign_stable_across_samples"
"Spec1_LogNetWorth","full",-0.193423498226034,0.0671115009118811,TRUE,TRUE
"Spec2_LogNetWorth_CCI","full",-0.185964023761652,0.0897569656007026,TRUE,TRUE
"Spec3_LevelNetWorth","full",-0.190601701497261,0.0656727903007313,TRUE,TRUE
"Spec4_Disagg_NoCCI","full",-0.182393597958924,0.0745572915704024,TRUE,TRUE
"Spec5_FullDisagg","full",-0.235312660814938,0.0953620061878574,TRUE,TRUE
"Spec6_Preferred","full",-0.238632699010184,0.0934979137556421,TRUE,TRUE
"Spec6b_LongHistSRCCI","full",-0.247501649488387,0.0624486695748052,TRUE,TRUE
"Spec7_CohortBurden","full",-0.341405172330671,0.123683250009806,TRUE,TRUE
"Spec7b_RBABurden","full",-0.380511905911744,0.156377367247005,TRUE,TRUE
"Spec8_CCI_Interactions","full",-0.458324679669523,0.130049523322283,TRUE,TRUE
"Spec9_KalmanCCI","full",-0.208784576840814,0.0644340826880605,TRUE,TRUE
"Spec10_WilliamsPrior","full",-0.0480783235839105,0.0613092329043127,TRUE,FALSE
"Spec11_LIVES_Headline","full",-0.44826755184568,0.125687434817194,TRUE,TRUE
"Spec12_LIVES_Calibrated","full",-0.0300962976992968,0.0404885591459825,TRUE,FALSE
"Spec1_LogNetWorth","precovid",-0.160725513910672,0.0484287698448785,TRUE,TRUE
"Spec2_LogNetWorth_CCI","precovid",-0.0798906013579871,0.0695714592890019,TRUE,TRUE
"Spec3_LevelNetWorth","precovid",-0.157764823592821,0.0497057983977427,TRUE,TRUE
"Spec4_Disagg_NoCCI","precovid",-0.118975196372372,0.0608727171265355,TRUE,TRUE
"Spec5_FullDisagg","precovid",-0.060691052892506,0.0977057891067512,TRUE,TRUE
"Spec6_Preferred","precovid",-0.0865825797920723,0.110124604917061,TRUE,TRUE
"Spec6b_LongHistSRCCI","precovid",-0.239722702930575,0.052021357181591,TRUE,TRUE
"Spec7_CohortBurden","precovid",-0.0544249348278015,0.125238555370113,TRUE,TRUE
"Spec7b_RBABurden","precovid",-0.0609669263040276,0.0659035029723533,TRUE,TRUE
"Spec8_CCI_Interactions","precovid",-0.218560054771736,0.0553949436915217,TRUE,TRUE
"Spec9_KalmanCCI","precovid",-0.157663302933887,0.0550609787755786,TRUE,TRUE
"Spec10_WilliamsPrior","precovid",-0.0252881439275297,0.0439900977465051,TRUE,FALSE
"Spec11_LIVES_Headline","precovid",-0.265594187854358,0.0547705671119081,TRUE,TRUE
"Spec12_LIVES_Calibrated","precovid",0.0405254075914973,0.0199287074606779,FALSE,FALSE
"Spec1_LogNetWorth","covid_dropped",-0.20458532099102,0.029115800708502,TRUE,TRUE
"Spec2_LogNetWorth_CCI","covid_dropped",-0.207725722774652,0.0421517345425464,TRUE,TRUE
"Spec3_LevelNetWorth","covid_dropped",-0.19587286303452,0.030132205152185,TRUE,TRUE
"Spec4_Disagg_NoCCI","covid_dropped",-0.157146743210372,0.0452564874923026,TRUE,TRUE
"Spec5_FullDisagg","covid_dropped",-0.171851532289299,0.0773025222132489,TRUE,TRUE
"Spec6_Preferred","covid_dropped",-0.16201181761821,0.0725893862840974,TRUE,TRUE
"Spec6b_LongHistSRCCI","covid_dropped",-0.240161481895446,0.0376221854514562,TRUE,TRUE
"Spec7_CohortBurden","covid_dropped",-0.183181170905345,0.045570449519157,TRUE,TRUE
"Spec7b_RBABurden","covid_dropped",-0.12696958147252,0.058866368160376,TRUE,TRUE
"Spec8_CCI_Interactions","covid_dropped",-0.240687543944511,0.0474994071843834,TRUE,TRUE
"Spec9_KalmanCCI","covid_dropped",-0.203951799088268,0.0431453428831112,TRUE,TRUE
"Spec10_WilliamsPrior","covid_dropped",0.00913248039073796,0.0480120697840765,FALSE,FALSE
"Spec11_LIVES_Headline","covid_dropped",-0.247959852321288,0.037233236547432,TRUE,TRUE
"Spec12_LIVES_Calibrated","covid_dropped",-0.00106396979128323,0.0267051564272114,TRUE,FALSE
"Spec1_LogNetWorth","covid_rich",-0.204885167203994,0.0269074501063915,TRUE,TRUE
"Spec2_LogNetWorth_CCI","covid_rich",-0.218134772804945,0.0339980682762446,TRUE,TRUE
"Spec3_LevelNetWorth","covid_rich",-0.192177234446662,0.0274723919249579,TRUE,TRUE
"Spec4_Disagg_NoCCI","covid_rich",-0.170377610596123,0.0392950513579838,TRUE,TRUE
"Spec5_FullDisagg","covid_rich",-0.191596034904105,0.0651546163685625,TRUE,TRUE
"Spec6_Preferred","covid_rich",-0.177234838492528,0.0624291378601483,TRUE,TRUE
"Spec6b_LongHistSRCCI","covid_rich",-0.234151547895396,0.0348510095870721,TRUE,TRUE
"Spec7_CohortBurden","covid_rich",-0.163987230061351,0.0527756838318963,TRUE,TRUE
"Spec7b_RBABurden","covid_rich",-0.146584961783975,0.0734520464923417,TRUE,TRUE
"Spec8_CCI_Interactions","covid_rich",-0.234933869826293,0.0462973291557294,TRUE,TRUE
"Spec9_KalmanCCI","covid_rich",-0.199190120372178,0.0427599947826513,TRUE,TRUE
"Spec10_WilliamsPrior","covid_rich",0.0509706533449489,0.0524418342498657,FALSE,FALSE
"Spec11_LIVES_Headline","covid_rich",-0.241771331144949,0.0386965409321299,TRUE,TRUE
"Spec12_LIVES_Calibrated","covid_rich",0.0154422035795435,0.0272415531734901,FALSE,FALSE
