"variable","n_obs","date_from","date_to"
"cons_real",199,"1976-07-01","2026-01-01"
"cons_nom",199,"1976-07-01","2026-01-01"
"cons_deflator",199,"1976-07-01","2026-01-01"
"ydi_nom",199,"1976-07-01","2026-01-01"
"compensation_of_employees",199,"1976-07-01","2026-01-01"
"prop_inc_rec",199,"1976-07-01","2026-01-01"
"social_assistance_benefits",199,"1976-07-01","2026-01-01"
"prop_inc_pay",199,"1976-07-01","2026-01-01"
"gos_dwellings",199,"1976-07-01","2026-01-01"
"gross_mixed_income",199,"1976-07-01","2026-01-01"
"income_tax_payable",199,"1976-07-01","2026-01-01"
"total_income_rec",199,"1976-07-01","2026-01-01"
"total_income_pay",199,"1976-07-01","2026-01-01"
"wage_share",199,"1976-07-01","2026-01-01"
"unemp_rate",199,"1976-07-01","2026-01-01"
"labour_force",199,"1976-07-01","2026-01-01"
"pop_millions",199,"1976-07-01","2026-01-01"
"pop_total_thousands",140,"1976-07-01","2011-04-01"
"prime_age_share",199,"1976-07-01","2026-01-01"
"fin_deposits",151,"1988-07-01","2026-01-01"
"fin_equities",151,"1988-07-01","2026-01-01"
"fin_super",151,"1988-07-01","2026-01-01"
"fin_loans",151,"1988-07-01","2026-01-01"
"housing_wealth",151,"1988-07-01","2026-01-01"
"closing_net_worth",151,"1988-07-01","2026-01-01"
"mortgage_rate",199,"1976-07-01","2026-01-01"
"hpi",199,"1976-07-01","2026-01-01"
"housing_loan_flow",95,"2002-07-01","2026-01-01"
"fhb_loans",95,"2002-07-01","2026-01-01"
"non_fhb_loans",95,"2002-07-01","2026-01-01"
"m3_aggregate",199,"1976-07-01","2026-01-01"
"credit_total_d02",199,"1976-07-01","2026-01-01"
"cons_deflator_norm",199,"1976-07-01","2026-01-01"
"cons_real_pc",199,"1976-07-01","2026-01-01"
"ydi_real_pc",199,"1976-07-01","2026-01-01"
"housing_wealth_r",151,"1988-07-01","2026-01-01"
"fin_deposits_r",151,"1988-07-01","2026-01-01"
"fin_equities_r",151,"1988-07-01","2026-01-01"
"fin_super_r",151,"1988-07-01","2026-01-01"
"fin_loans_r",151,"1988-07-01","2026-01-01"
"m3_household_proxy",199,"1976-07-01","2026-01-01"
"labour_transfer_nom",199,"1976-07-01","2026-01-01"
"labour_transfer_real_pc",199,"1976-07-01","2026-01-01"
"ln_labour_transfer_real_pc",199,"1976-07-01","2026-01-01"
"scaled_income_real_pc",199,"1976-07-01","2026-01-01"
"ln_scaled_income_real_pc",199,"1976-07-01","2026-01-01"
"property_tax_share",199,"1976-07-01","2026-01-01"
"npy_rec_nom",199,"1976-07-01","2026-01-01"
"npy_pay_nom",199,"1976-07-01","2026-01-01"
"npy_nom",199,"1976-07-01","2026-01-01"
"npy_real_pc",199,"1976-07-01","2026-01-01"
"ln_npy_real_pc",199,"1976-07-01","2026-01-01"
"ydi_ann_nom",199,"1976-07-01","2026-01-01"
"ydi_ann_r",199,"1976-07-01","2026-01-01"
"eq_y",151,"1988-07-01","2026-01-01"
"super_y",151,"1988-07-01","2026-01-01"
"ilfa_y",151,"1988-07-01","2026-01-01"
"nla_y",151,"1988-07-01","2026-01-01"
"nla_y_unrestricted",151,"1988-07-01","2026-01-01"
"debt_y",151,"1988-07-01","2026-01-01"
"ha_y",151,"1988-07-01","2026-01-01"
"networth_y",151,"1988-07-01","2026-01-01"
"housing_wealth_proxy",199,"1976-07-01","2026-01-01"
"networth_y_raw_proxy",199,"1976-07-01","2026-01-01"
"networth_y_proxy",199,"1976-07-01","2026-01-01"
"ln_networth_y_proxy",199,"1976-07-01","2026-01-01"
"ha_y_proxy",199,"1976-07-01","2026-01-01"
"fin_deposits_proxy",199,"1976-07-01","2026-01-01"
"fin_loans_proxy",199,"1976-07-01","2026-01-01"
