"draw","success","fail_reason","n_surviving_knots","surviving_knots","cci_min","cci_max","n_obs","lambda","ols_nla_y","ols_ilfa_y","ols_ln_yp_over_y","ols_yp_x_cci","ols_ha_x_cci","ols_hp_x_1_minus_cci","gamma_nla_y","gamma_ilfa_y","gamma_ln_yp_over_y","gamma_yp_x_cci","gamma_ha_x_cci","gamma_hp_x_1_minus_cci"
1,TRUE,NA,7,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.048821942241705,0,146,-0.196245896245715,0.00509534100842688,-0.00234633643926339,0.16069747395173,-4.97821839640439,0.144089295730214,0.0320356761123161,0.0259640639926916,-0.0119561044798898,0.818857754612731,-25.3672483941843,0.73422832521197,0.16324252748809
2,TRUE,NA,4,"sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0274697117509545,0,146,-0.297635957502853,0.0240601009471334,-0.00326095569191389,0.279226842917287,-20.1969523629266,-0.343770043674416,0.0362469811279787,0.0808373462299249,-0.0109561886247653,0.938148889200024,-67.8579044426544,-1.15500172277108,0.12178293722334
3,TRUE,NA,5,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0429055208818513,0,146,-0.216756298317907,-0.00389216263312961,-0.00121882833608462,0.167272873177766,-9.3375281130664,0.108440026940242,0.0273970257770323,-0.0179563992526812,-0.00562303538832823,0.771709401183969,-43.0784627045598,0.500285471664576,0.126395523404124
4,TRUE,NA,6,"sdmma_1992_01;sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0379282206044102,0,146,-0.13722993430174,0.0169626771338635,0.0080138198757215,0.0977654757559668,-0.143112076262428,0.125529168858016,0.033258822948617,0.123607704253258,0.0583970247927159,0.712420917880794,-1.04286340287648,0.914736055924964,0.242358368222255
5,TRUE,NA,6,"sdmma_1990_09;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0754126381332356,0,146,-0.19224933793597,0.00323632754021618,0.00762244766425537,0.0731239594146894,-7.99475587614497,-0.106305538941581,0.0219258340914898,0.0168340113675401,0.0396487589819117,0.380360006436245,-41.5853493280049,-0.552956593156058,0.114048944599187
6,TRUE,NA,7,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.0645461630432445,0,146,-0.218789459241423,-0.00823639116894258,0.00420777227900176,0.0929268704363494,-8.7385937839984,-0.250867531786413,-0.0120223490236631,-0.0376452832668422,0.0192320612409335,0.424731935252006,-39.9406525995195,-1.14661616997551,-0.0549493977696481
7,TRUE,NA,7,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.0701152682646408,0,146,-0.11163614590189,-0.0331196791653429,-0.0123137393147129,0.0641085257733969,-3.68811214164923,-0.298351660510986,-0.000847499419442042,-0.296675229136356,-0.110302440264596,0.574263158724037,-33.0368995799127,-2.67253637341788,-0.00759162198403781
8,TRUE,NA,7,"sdmma_1992_01;sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0760536592032649,0,146,-0.156947224928515,0.00789802330266889,0.00466311377217735,-0.038083240955119,-5.93506172594587,0.0468408349989409,0.0357055578479624,0.0503227967634739,0.0297113489856304,-0.24264997977801,-37.8156525459377,0.298449590429365,0.227500408906403
9,TRUE,NA,4,"sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0462939744895281,0,146,-0.146302312003433,0.0112934537306852,0.0031447828839387,0.0615840917153324,2.04793441776824,0.447356364097231,0.0171718478606189,0.0771925855171735,0.0214951003909283,0.420937242016294,13.9979634615767,3.05775320957836,0.117372361553766
10,TRUE,NA,6,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.055812700178949,0,146,-0.150125793356839,0.00260463360644658,0.00866533257228714,0.0811782611695297,-6.87008803377703,-0.261556841299926,0.000169058966141572,0.0173496742179109,0.0577204781305648,0.540734935378987,-45.7622096787011,-1.74225118449981,0.00112611538871092
11,TRUE,NA,5,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0372477229839605,0,146,-0.119169087289172,0.0144695249945333,0.00822963223772583,0.0751048139716863,5.80902526359591,0.0620837019285236,0.025379064364623,0.12142012096998,0.0690584481674856,0.630237385215844,48.7460749741242,0.520971531634486,0.21296684351571
12,TRUE,NA,6,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-8.04708499459895,1,146,-0.165534117824001,0.0282574248858642,0.00397568967067007,0.145827984105099,-0.0662189283993464,0.000753408930860872,0.00856453859836644,0.17070453666783,0.0240173429075032,0.880954246907248,-0.400031904418348,0.00455138155665233,0.0517388119799715
13,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-42.2225825726134,1,146,-0.190832904943955,0.00598318735791598,-0.000879107098352285,0.189203375354793,-0.0210825592820728,-0.000806703870842536,-0.00157502060235532,0.031353017236064,-0.00460668509243974,0.99146096115007,-0.110476541182793,-0.00422727868173183,-0.00825340159663706
14,TRUE,NA,4,"sdmma_2009_01;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.799161251627702,1,146,-0.332062925063278,-0.0498903610146193,0.00404234739409701,0.410292663808496,0.456223987268027,0.000486352469996454,-0.0446650803327677,-0.150243695543886,0.0121734378908055,1.23558709160413,1.37390823495604,0.00146463948031469,-0.134507880770659
15,TRUE,NA,5,"sdmma_1992_01;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-3.35325281328417,1,146,-0.232597205038317,0.0023835139330895,0.0076959981175298,0.246596297319086,-0.284502463832776,0.00708650618939707,0.0176405907570997,0.0102473885388986,0.0330872338567525,1.06018598666507,-1.22315512684647,0.030466858740756,0.0758418002236687
16,TRUE,NA,5,"sdmma_1993_01;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0422844043292859,0,146,-0.152098996014171,-0.0352830135514464,-0.00971519537149066,0.185958363635403,5.12969123931948,0.174236946034424,-0.00888164282270312,-0.231974006903761,-0.063874158449971,1.22261401132508,33.7260032856598,1.14554961308351,-0.0583938293838286
17,TRUE,NA,7,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-4.79826275730824,1,146,-0.213366590671196,-0.0153996929755761,-0.011024120003297,0.217270687125306,-0.266694172998579,-0.00563637188237842,0.000972373101085552,-0.0721748092198157,-0.0516675078728023,1.01829759964683,-1.24993407899347,-0.02641637505032,0.00455728845845414
18,TRUE,NA,5,"sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0643657514643543,0,146,-0.191878787118664,0.0111521101614575,0.0100986646793007,0.157977059152111,-9.81914707681717,-0.0613924714077709,-0.00125998665978442,0.0581205996187616,0.0526304383665679,0.823316957149684,-51.1736978551187,-0.319954447959918,-0.00656657611143434
19,TRUE,NA,5,"sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.043175342864382,0,146,-0.12872649869317,0.010440064575158,0.0064969806909106,0.0436149007264259,-3.69236081911234,-0.308228472887041,0.0142524092680455,0.0811026842269885,0.0504711986798977,0.338818356509373,-28.6837664086038,-2.39444462496978,0.110718534355675
20,TRUE,NA,5,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0330772920602525,0,146,-0.127414063905438,0.0170257029593942,0.00521618166047854,0.0318462399139981,-4.50344969137506,-0.0196051567285296,0.0232764868024588,0.133624989561827,0.0409388218269985,0.249942894354529,-35.3449968813281,-0.153869644587114,0.182683811260692
21,TRUE,NA,4,"sdmma_1993_01;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.0345370762710367,0,146,-0.130618696866814,0.0496016775028791,0.0214486247534814,0.0335522650244421,-4.57295847218825,-0.21522485564282,0.0241652444954465,0.379744084826199,0.164207921744553,0.256871840167368,-35.0099838834795,-1.64773390644277,0.18500601426216
22,TRUE,NA,5,"sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-17.2306335472533,1,146,-0.19292413075464,0.0362960232275945,0.0228772780187264,0.118283521135403,-0.0345278420496537,-0.000275501918362894,0.00269182776311015,0.188136253798938,0.118581734328619,0.613109001309099,-0.178971090420856,-0.00142803244614991,0.0139527790151539
23,TRUE,NA,7,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-8.74624926999404,1,146,-0.187735310933507,0.0217871999844325,0.0196714339609978,0.16591625684651,-0.0332354070553715,0.00151222380105123,0.0105820238172112,0.116052754679429,0.104782812903882,0.883777569715026,-0.177033328946535,0.00805508454180385,0.0563667205950361
24,TRUE,NA,6,"sdmma_1992_01;sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03",-0.0255323795919399,0,146,-0.175034914687865,0.0116815075827118,-0.000460066424538919,0.188835815427206,-4.70342769647738,0.155944661822148,0.044844208364061,0.0667381568045615,-0.00262842659339905,1.07884655906481,-26.8713685201885,0.890934600678042,0.25620150382014
25,TRUE,NA,6,"sdmma_1990_09;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0549506928623783,0,146,-0.1377407334555,0.00228468108333968,0.00463549945329901,-0.114559109372504,-9.46103586596295,-0.0095251540425193,0.0115492407150516,0.0165868224019425,0.0336538025971569,-0.831701026258251,-68.6872766582117,-0.0691527756790737,0.0838476783542232
26,TRUE,NA,8,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0718620147100154,0,146,-0.175613113433347,0.0159199775029112,0.00381456804805697,0.144664993914434,-5.9030556443716,-0.239102236223611,0.00942307623218674,0.0906536943151089,0.0217214305553826,0.823771021913695,-33.6139797818235,-1.36152837079767,0.053658158254584
27,TRUE,NA,4,"sdmma_1993_01;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.0427907197828275,0,146,-0.259802083480588,0.0327225625471692,0.00713301633871982,0.200889011118806,-14.7831237568724,0.0276296618905949,0.0388205614920219,0.125951886562196,0.0274555778889771,0.773238645462272,-56.9014826933709,0.106348884968274,0.149423595730796
28,TRUE,NA,5,"sdmma_2007_09;sdmma_2008_12;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0547530241401663,0,146,-0.203847714430468,-0.0134621553694056,-0.00965845323539884,0.194553773060056,-17.3771476818927,-0.408235361430798,-0.0128500820130886,-0.0660402566053668,-0.0473807286109814,0.95440742911257,-85.2457322391023,-2.00264870553673,-0.0630376555802481
29,TRUE,NA,8,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-9.53235642829942,1,146,-0.0979418808608524,0.0282836897433025,0.0192927896076155,0.058066112097389,-0.00483975621069039,0.00208377647044648,0.00627173223691286,0.288780340899167,0.196982020745804,0.592862946749864,-0.0494145728890618,0.0212756427805071,0.0640352439813078
30,TRUE,NA,5,"sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0454742214948396,0,146,-0.111612229626641,0.0166010262663343,0.00928430602174701,0.0776875073925208,-7.78131656453154,-0.399158984403485,0.0047669142142629,0.148738416227927,0.0831835906585179,0.696048342125202,-69.7174188757018,-3.57630150153553,0.042709604764719
31,TRUE,NA,8,"sdmma_1990_09;sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0481103806062862,0,146,-0.0917204536611167,0.0280754851374597,0.0152784486324229,0.0315775862675707,-5.70637863867451,0.029653903267674,0.0274133455268484,0.306098411170003,0.166576243602903,0.344280746628682,-62.2148976689333,0.32330742036272,0.298879305897609
32,TRUE,NA,6,"sdmma_1998_09;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-10.4147305711673,1,146,-0.186674721293641,-0.0442148263528017,-0.0230017769112983,0.200954979388446,-0.027743898131263,-0.000304431484319771,0.0050860428967085,-0.236854920936249,-0.123218488030398,1.07649808177478,-0.148621612712209,-0.00163081258249689,0.0272454827384373
33,TRUE,NA,6,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2021_12",-0.0463966097269613,0,146,-0.168587045096286,0.000181262443033085,-0.00656888034224499,0.121164973558898,-9.2671694062326,0.0607134903735111,0.0219089822889484,0.00107518607334009,-0.0389643245629774,0.7187086854135,-54.9696413561303,0.360131410683636,0.129956499779894
34,TRUE,NA,7,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-22.7361695000023,1,146,-0.25839005454243,-0.0207894197467145,-0.00587206513917787,0.213482224289655,-0.0311172063505342,-0.000896758463061749,0.0000291276579429416,-0.0804575074823581,-0.0227255849671784,0.826201397989948,-0.120427260273767,-0.00347056106571041,0.000112727473178185
35,TRUE,NA,5,"sdmma_2007_09;sdmma_2009_01;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-25.5205916639781,1,146,-0.22458385181256,0.00265268487753048,0.00785345775356807,0.1350627635166,-0.0311437983892504,-0.000206296968126643,0.000861108199731842,0.0118115566017829,0.0349689333858369,0.601391250646662,-0.138673364704971,-0.000918574360808545,0.00383423916181886
36,TRUE,NA,3,"sdmma_2007_09;sdmma_2009_01;sdmma_2019_01",-47.7262580238336,1,146,-0.162887785197986,-0.0138936676096502,-0.00766920957531854,0.172715077305338,-0.0107092008047902,-0.000672906576464787,-0.000821519957832395,-0.0852959452592641,-0.0470827788958935,1.06033167002306,-0.065745880157763,-0.00413110520010379,-0.00504347184065313
37,TRUE,NA,7,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0466743658993842,0,146,-0.0971225257071861,0.0364682650310149,0.0134390453137472,0.107880937349705,4.63802832045852,0.426840359308528,0.0606106337702625,0.375487197902603,0.138372073995115,1.11077153898318,47.7544039005088,4.39486469488454,0.624063607581593
