"variant","delta","k","gfc_learning","ar_order","method","lambda","struct_ln_yp_over_y","struct_main_wealth"
"delta=0.90_k=20_gfc=TRUE",0.9,20,TRUE,8,"rolling_ar8",-0.046414969596226,-0.20718351654253,0.121927979611738
"delta=0.95_k=20_gfc=TRUE",0.95,20,TRUE,8,"rolling_ar8",-0.0464733866892305,-0.195915193075499,0.1217461224696
"delta=0.97_k=20_gfc=TRUE",0.97,20,TRUE,8,"rolling_ar8",-0.0464946952152302,-0.191838947385248,0.121679493154923
"delta=0.90_k=40_gfc=TRUE",0.9,40,TRUE,8,"rolling_ar8",-0.0472290279138133,-0.0864489908081471,0.1188629066257
"delta=0.95_k=40_gfc=TRUE",0.95,40,TRUE,8,"rolling_ar8",-0.0472973479028547,-0.0761206738441896,0.118612716918255
"delta=0.97_k=40_gfc=TRUE",0.97,40,TRUE,8,"rolling_ar8",-0.0473208176786098,-0.0726449860505889,0.118525681427321
"delta=0.90_k=60_gfc=TRUE",0.9,60,TRUE,8,"rolling_ar8",-0.047490944778596,-0.0543748798821701,0.117735271393323
"delta=0.95_k=60_gfc=TRUE",0.95,60,TRUE,8,"rolling_ar8",-0.047565496933931,-0.0444725892234297,0.117434298116669
"delta=0.97_k=60_gfc=TRUE",0.97,60,TRUE,8,"rolling_ar8",-0.047589745876217,-0.0413522946581456,0.117334408887935
"delta=0.90_k=20_gfc=FALSE",0.9,20,FALSE,8,"rolling_ar8",-0.0466926932151017,-0.179148450969567,0.12133814744293
"delta=0.95_k=20_gfc=FALSE",0.95,20,FALSE,8,"rolling_ar8",-0.0467548925467738,-0.17014861322954,0.12115118113947
"delta=0.97_k=20_gfc=FALSE",0.97,20,FALSE,8,"rolling_ar8",-0.046777509191305,-0.166868282649053,0.121083099303542
"delta=0.90_k=40_gfc=FALSE",0.9,40,FALSE,8,"rolling_ar8",-0.0474021300843517,-0.0778284203260991,0.118754698555834
"delta=0.95_k=40_gfc=FALSE",0.95,40,FALSE,8,"rolling_ar8",-0.0474637028125187,-0.0687469753151378,0.118537578150712
"delta=0.97_k=40_gfc=FALSE",0.97,40,FALSE,8,"rolling_ar8",-0.0474845177485392,-0.065676719941039,0.118462995130786
"delta=0.90_k=60_gfc=FALSE",0.9,60,FALSE,8,"rolling_ar8",-0.0475933804764175,-0.0494051018868825,0.117900040999896
"delta=0.95_k=60_gfc=FALSE",0.95,60,FALSE,8,"rolling_ar8",-0.0476526863060439,-0.0405219765652123,0.117659528817701
"delta=0.97_k=60_gfc=FALSE",0.97,60,FALSE,8,"rolling_ar8",-0.0476713992252733,-0.0377117830389996,0.117581095485324
"hp_filter_lambda1600",NA,NA,NA,NA,"hp_filter",-0.0755423575268538,1.10323498651579,0.091532410375251
