"term","ar_estimate","italy_estimate","ar_se","italy_se"
"(Intercept)",-0.156369730309221,0.0201476387887192,0.100554379113017,0.100136662588487
"networth_y",0.00561006693778552,0.00120030429714894,0.00307242130263948,0.00282111551070894
"ln_hp_over_y",-0.0257164683141066,0.00466965864718583,0.0165995600260978,0.0166806818959532
"real_rate",-0.000091759250733588,-0.000213203086766976,0.000408352706485811,0.000362955953525885
"ln_yp_over_y",-0.00360030599340837,0.194450855236715,0.000939585845657613,0.0541670831034532
"ecm_lag",-0.0472973479028547,-0.18940330734826,0.0424828129391084,0.0633181406290142
"d2000_gst",0.00184143193021455,0.00300323874168732,0.00165060279006679,0.00155065372942544
"d2008_gfc",-0.0144461088065768,-0.0116948430341161,0.00129903631070711,0.00125879493565097
"d2020_covid",-0.163221730031209,-0.158976807326077,0.00632468639070349,0.00532647456962454
"d2020_rebound",0.0406924672976756,0.0251043238298144,0.0062831984114078,0.00750293433221311
"d_recession_1991",-0.00232592878750346,-0.00270948361803292,0.00153640373015653,0.00148038457694958
"d_apra_2014",-0.0115345016635028,0.00684469476347114,0.00526184019566569,0.00549097816355478
"d_apra_2017",-0.00350015626413138,-0.00990592312831258,0.00306612592628757,0.00328751614279941
"d_jobkeeper_2020",0.0221965094391413,0.0137729693058637,0.0091357627494102,0.00827838610022206
