"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","chow_method","reset_pval","schwarz","loglik","specification","period"
126,0.532986164105643,0.169095740240446,1.77471857355211,0.178326437039974,0.110174597653633,"structural",0.155030846465208,0.0254211313525323,0.00517680671679888,"manual_common_coef",0.262334235697394,-914.978538767284,486.506960825351,"Spec1_LogNetWorth","precovid"
66,0.506079102205478,0.256974224525245,2.11006648890317,0.0354547817845233,0.0252408744732165,"structural",0.594355395221224,0.41045712082857,0.00000861029135687094,"manual_common_coef",0.237860690532761,-475.24060012487,260.66340114358,"Spec2_LogNetWorth_CCI","precovid"
126,0.533519212268614,0.167432907315814,1.77203823600341,0.182761138064126,0.113566587216182,"structural",0.151408566258129,0.025590482247798,0.00578259408660344,"manual_common_coef",0.247784755346518,-914.726635399088,486.381009141253,"Spec3_LevelNetWorth","precovid"
126,0.51546934086364,0.222814313184379,1.85316803389516,0.351677692359542,0.269657059435492,"structural",0.36119097348143,0.160989934626006,0.0000489612591876298,"sctest",0.0650317112050187,-912.221528257345,492.382878430809,"Spec4_Disagg_NoCCI","precovid"
66,0.478556104382339,0.335595152853786,2.14900913920948,0.651128278763188,0.607129074699766,"structural",0.436525236176219,0.825685663438117,0.00798060680293505,"manual_common_coef",0.865434876880957,-464.9637429925,268.093936803475,"Spec5_FullDisagg","precovid"
66,0.472795601098398,0.351494108618224,2.18237703018382,0.476409237280266,0.43512594556007,"structural",0.331202635897415,0.774891815902368,0.0273673620022307,"manual_common_coef",0.142866900935012,-463.706025536341,269.559905446408,"Spec6_Preferred","precovid"
160,0.604998576699057,0.208457147791033,1.89978306449432,0.159963528438998,0.115653325488678,"structural",0.468580797820215,0.380602305272971,0.218949126547411,"manual_common_coef",0.934421446312552,-1095.18983711634,600.884243618126,"Spec6b_LongHistSRCCI","precovid"
66,0.466407911509287,0.36889897056725,2.36250699030526,0.488597705915367,0.451193542657077,"structural",0.0523303301509152,0.290231150378558,0.0142338553275309,"manual_common_coef",0.119293974579658,-459.872652501204,271.832873670866,"Spec7_CohortBurden","precovid"
44,0.31920686342746,0.224106226207997,3.19296585987049,0.352788846519772,NA,"ok",0.00000439688601686324,0.000019966400453319,NA,NA,0.0366560775155037,-332.125478847081,202.012540945764,"Spec7b_RBABurden","precovid"
126,0.511525142270787,0.23466233920837,1.89645834704982,0.521771865095522,0.441831279418958,"structural",0.493412740643686,0.291621013858029,0.379167786165415,"manual_common_coef",0.291440695304678,-895.730177777398,496.227907958214,"Spec8_CCI_Interactions","precovid"
126,0.502508730555866,0.261405042877297,1.89485998614127,0.488913607413467,0.412259046261984,"structural",0.508151240259062,0.273243656154429,0.151831982725926,"manual_common_coef",0.380684649441394,-900.211676265823,498.468657202426,"Spec9_KalmanCCI","precovid"
66,0.494337706082218,0.298362847027678,2.13639723120131,0.393489544051851,0.343486720418631,"structural",0.46844900554092,0.653763114199366,0.494223584053117,"sctest",0.341932891788364,-469.404160592188,264.029663490279,"Spec10_WilliamsPrior","precovid"
126,0.509991687371006,0.239244134151938,1.8486619167531,0.520401454192651,0.444142559633319,"structural",0.318779343781249,0.468199984407159,0.588681350936706,"manual_common_coef",0.746836582159355,-900.150940800201,496.020148516139,"Spec11_LIVES_Headline","precovid"
126,0.559655558034681,0.0937413157652529,1.81603464936305,0.2245492626984,0.157587793047255,"structural",0.272846261039584,0.204030129611119,0.000902963376409634,"manual_common_coef",0.666149480214723,-898.938534864887,480.905099827628,"Spec12_LIVES_Calibrated","precovid"
