"specification","pass_signs","pass_coint","pass_lambda","pass_stability","bic","is_preferred"
"Spec1_LogNetWorth",TRUE,FALSE,TRUE,TRUE,-957.729882634583,FALSE
"Spec2_LogNetWorth_CCI",FALSE,FALSE,TRUE,TRUE,-538.665069067629,FALSE
"Spec3_LevelNetWorth",TRUE,FALSE,TRUE,TRUE,-957.86035748696,TRUE
"Spec4_Disagg_NoCCI",FALSE,FALSE,TRUE,TRUE,-943.537996418986,FALSE
"Spec5_FullDisagg",FALSE,FALSE,TRUE,TRUE,-531.887181171916,FALSE
"Spec6_Preferred",FALSE,FALSE,TRUE,TRUE,-530.116385275353,FALSE
"Spec6b_LongHistSRCCI",TRUE,FALSE,TRUE,FALSE,-1152.25040069087,FALSE
"Spec7_CohortBurden",FALSE,FALSE,FALSE,TRUE,-537.845900087634,FALSE
"Spec7b_RBABurden",FALSE,FALSE,FALSE,TRUE,-387.856023822429,FALSE
"Spec8_CCI_Interactions",FALSE,FALSE,FALSE,TRUE,-984.350542610334,FALSE
"Spec9_KalmanCCI",FALSE,NA,TRUE,TRUE,-928.48466962796,FALSE
"Spec10_WilliamsPrior",TRUE,NA,TRUE,FALSE,-529.467778191131,FALSE
"Spec11_LIVES_Headline",TRUE,FALSE,FALSE,TRUE,-987.31897625227,FALSE
"Spec12_LIVES_Calibrated",TRUE,NA,TRUE,FALSE,-931.009674193819,FALSE
