"knot","sign_prior","survived","sign_violator","aliased","ols_estimate"
"sdmma_1979_01",1,FALSE,FALSE,TRUE,NA
"sdmma_1986_01",1,FALSE,FALSE,TRUE,NA
"sdmma_1990_09",-1,FALSE,TRUE,FALSE,NA
"sdmma_1992_01",-1,TRUE,FALSE,FALSE,0.00341365362031175
"sdmma_1993_01",-1,FALSE,TRUE,FALSE,NA
"sdmma_1998_09",1,FALSE,TRUE,FALSE,NA
"sdmma_2007_09",-1,TRUE,FALSE,FALSE,0.00115704902323096
"sdmma_2008_12",-1,FALSE,TRUE,FALSE,NA
"sdmma_2009_01",1,TRUE,FALSE,FALSE,0.0122077280948318
"sdmma_2014_12",-1,FALSE,TRUE,FALSE,NA
"sdmma_2017_03",-1,FALSE,TRUE,FALSE,NA
"sdmma_2019_01",-1,TRUE,FALSE,FALSE,-0.0333460755328996
"sdmma_2019_09",1,FALSE,TRUE,FALSE,NA
"sdmma_2020_04",1,TRUE,FALSE,FALSE,0.00468035635746057
"sdmma_2021_12",-1,FALSE,TRUE,FALSE,NA
