"term","williams_estimate","williams_se","williams_t","williams_implied_ols","ours_ols","ours_struct","ours_t","ols_rel_diff_pct","struct_rel_diff_pct","williams_note","ours_source"
"lambda",-0.286,0.083,-3.45,-0.286,-0.180107535147886,-0.180107535147886,-1.75727958750122,37.025337360879,-162.974662639121,"Speed of adjustment, FIML","Spec 6 ecm_lag (OLS == structural for ecm_lag itself)"
"ha_y",0.0488,0.0095,5.14,0.0139568,0.00883667377631001,0.0490633208047304,1.52275214435284,-36.6855312370313,0.539591812972127,"Housing wealth MPC at CCI peak; 0.0452 by 2008Q2 (≈0 at CCI=0)","Spec 6 (CCI=0 by construction)"
"ha_y_at_peak",0.0452,NA,NA,0.0129272,NA,NA,NA,NA,NA,"Housing wealth MPC at CCI peak (paper text p.13)","Not estimated in Spec 6"
"ifa_y",0.022,NA,NA,0.006292,0.0054077850626204,0.030025312700993,NA,-14.053002819129,36.4786940954228,"Illiquid financial MPC; calibrated, not freely estimated (p.18)","Spec 6 eq_y + super_y aggregated"
"nla_y",0.159,0.041,3.88,0.045474,0.0353515283111108,0.196280118330883,0.959290775949469,-22.2599104738734,23.4466153024421,"Net liquid (= LA - total household debt) MPC","Spec 6 NLA fix; restriction accepted"
"ln_hp_over_y_at_cci0",-0.13,0.027,-4.81,-0.03718,-0.0169861541373376,-0.094311179837036,-0.853868812567919,54.3137328205013,-172.547061413105,"log(p^h/y) coef at CCI=0; +0.026 at CCI peak (sign reversal)","Spec 6 (no CCI interaction)"
"real_rate_at_peak",-0.871,0.435,-2,-0.249106,-0.00017944381575746,-0.00099631487161333,-0.168801576633136,99.9279648760939,-100.114387470909,"r x CCI coef; effect at CCI=1","Spec 6 (no r x CCI interaction)"
"ln_yp_over_y_at_cci0",0.2,NA,NA,0.0572,0.199862329196879,1.10968332908877,0.759054567455169,249.40966642811,454.841664544385,"psi_0 calibrated; weight on permanent income at CCI=0","Spec 6 (free, not calibrated)"
"ln_yp_over_y_at_peak",0.95,NA,NA,0.2717,0.435900909546017,2.42022583446105,NA,60.4346373007056,154.760614153795,"psi at CCI=1 (psi_0 + psi_1 x CCI; capped at 0.95)","Spec 6 sum of base + post-2008 break"
"demftb_d4",-0.138,0.058,-2.38,-0.039468,NA,NA,NA,NA,NA,"First-home-buyer cohort share, change form","Not in Spec 6 (we use prime_age_share in level)"
"wapop_d4",-0.069,NA,NA,-0.019734,NA,NA,NA,NA,NA,"Working-age population share, change form","Not in Spec 6"
"dsrisk",0.05,0.022,2.27,0.0143,NA,NA,NA,NA,NA,"Downside-risk index on housing returns","Not in Spec 6 (DSRISK not constructed)"
"dlog_c_lag",-0.11,0.041,-2.68,-0.03146,NA,NA,NA,NA,NA,"Lagged consumption growth (durables habit)","Not in Spec 6 short-run set"
