"draw","knots","adj_r2","lambda","n_obs","n_aliased"
1,"1983-08-03, 1983-12-08, 1994-11-22, 1996-07-05",0.722191033368186,-0.182365333964604,146,2
2,"1995-04-08, 1996-07-22, 1997-04-10, 1999-10-11",0.731475930274222,-0.223979536349024,146,0
3,"1980-10-26, 1989-03-07, 1991-09-13, 1996-05-16",0.727721438778785,-0.178448540303494,146,1
4,"1984-06-25, 1988-03-30, 1995-07-19, 2005-04-07",0.724951007568771,-0.175094766994474,146,1
5,"1980-07-06, 1986-10-21, 1989-10-18, 1993-03-17",0.722055001401357,-0.180729978995772,146,1
6,"1984-06-25, 1997-09-05, 2000-03-16, 2004-10-29",0.737027683641427,-0.227557267395023,146,1
7,"1988-08-10, 2000-03-12, 2003-08-21, 2005-04-28",0.737479669526607,-0.209137343571969,146,0
8,"1979-03-23, 1988-01-20, 1998-02-12, 1999-06-17",0.738030750154912,-0.215564818006643,146,1
9,"1987-07-07, 1989-03-17, 1991-10-21, 2000-04-06",0.731851864855097,-0.211229888701087,146,0
10,"1986-07-03, 2001-05-01, 2005-08-30, 2007-05-04",0.721674011933756,-0.19037038690214,146,1
11,"1980-12-14, 1984-06-14, 1997-12-27, 2004-03-06",0.729520254870161,-0.173188131135336,146,2
12,"1991-02-02, 1994-06-19, 1995-09-04, 1995-09-26",0.720395078559692,-0.188407350058414,146,0
13,"1979-01-02, 1984-11-03, 1986-03-13, 2006-05-22",0.726367834803619,-0.185256844755283,146,3
14,"1990-03-02, 1991-07-01, 1992-06-08, 1995-06-26",0.718960187030886,-0.184478419115394,146,0
15,"1980-05-08, 1988-06-07, 1992-09-17, 2004-03-02",0.728113475553187,-0.175811936865951,146,1
16,"1979-03-29, 1980-10-02, 1990-03-08, 1991-02-18",0.72379619025196,-0.187627482838181,146,2
17,"1979-08-03, 1992-02-10, 1998-07-05, 1998-10-31",0.734629139676804,-0.220214080017202,146,1
18,"1984-04-05, 1992-05-13, 1994-06-12, 2004-11-27",0.720881368863654,-0.186999220990633,146,1
19,"1981-05-22, 1983-02-09, 1984-06-07, 2002-09-11",0.724253715302594,-0.181722393969466,146,3
20,"1979-10-13, 1981-02-10, 1986-09-27, 2004-10-18",0.724348089267731,-0.181434397043136,146,3
21,"1985-03-06, 1989-03-30, 1993-02-14, 2006-01-25",0.729740580854474,-0.170459662120055,146,1
22,"1983-01-25, 1991-03-11, 1993-07-12, 2007-09-04",0.721519493785451,-0.191278573306216,146,1
23,"1984-07-06, 1995-09-13, 1999-11-19, 2002-11-11",0.735913456730466,-0.221313308547271,146,1
24,"1980-03-19, 1999-02-17, 2004-02-06, 2004-07-26",0.743899171776657,-0.21406716155245,146,1
25,"1989-10-13, 1992-06-27, 2000-09-30, 2004-05-27",0.726422614394041,-0.209797851946377,146,0
26,"1983-10-13, 1985-09-06, 1987-07-24, 1989-12-12",0.724455705256876,-0.178562956009476,146,2
27,"1987-03-08, 1992-04-08, 1993-08-16, 1999-07-05",0.732323992263592,-0.22454039482167,146,0
28,"1985-11-20, 1990-06-25, 2004-07-06, 2007-02-11",0.721418857565132,-0.183702864720631,146,1
29,"1981-02-07, 1991-06-17, 1999-04-19, 2003-11-22",0.74277866024951,-0.21464431805059,146,1
30,"1984-04-11, 1986-04-20, 1994-12-12, 1995-11-11",0.722365446512121,-0.181846400127736,146,2
31,"1982-07-03, 1989-12-05, 1992-06-14, 1997-07-02",0.72314711649338,-0.179879833701636,146,1
32,"1981-04-17, 1983-01-12, 1998-11-23, 2004-09-28",0.741626227809485,-0.213558819770477,146,2
33,"1981-02-17, 1982-12-20, 1996-06-16, 2006-06-21",0.724383912002629,-0.185226773396235,146,2
34,"1986-05-23, 1994-05-09, 1995-03-22, 2005-07-06",0.720103939498899,-0.183084083110076,146,1
35,"1980-11-07, 1983-07-10, 2002-05-10, 2002-07-01",0.724240547361226,-0.182237896244338,146,3
36,"1989-06-23, 1991-11-01, 1994-08-08, 2004-12-29",0.724148982108716,-0.174884874515203,146,0
37,"1990-05-27, 1993-12-20, 2001-12-02, 2006-10-26",0.72120975066618,-0.185871930533292,146,0
38,"1982-10-12, 1983-07-17, 1999-10-21, 2000-01-04",0.735217659955905,-0.221438061405738,146,2
39,"1980-06-12, 1993-02-22, 2006-11-30, 2007-02-13",0.725177567902956,-0.191219233822606,146,1
40,"1981-09-21, 1995-09-11, 1997-10-09, 2001-07-03",0.7258958903578,-0.19160277229781,146,1
41,"1987-03-17, 1991-08-07, 1995-08-22, 1997-04-29",0.719065552054329,-0.185943413065961,146,0
42,"1991-01-24, 1993-09-24, 2006-06-01, 2006-09-25",0.72199519067568,-0.189629228175779,146,0
43,"1990-08-22, 1990-09-21, 1994-07-30, 2001-10-09",0.72045765691237,-0.187908238365253,146,1
44,"1985-04-07, 1995-05-04, 1997-11-24, 2003-12-16",0.728786402394525,-0.168779172511775,146,1
45,"1980-07-28, 1982-01-09, 1989-09-16, 2002-02-06",0.723984580740512,-0.17334372650354,146,2
46,"1982-08-28, 1984-01-17, 1987-09-12, 1993-11-24",0.724776511743239,-0.180960952684926,146,2
47,"1983-08-19, 1992-11-22, 1999-01-20, 2003-01-22",0.740770523964697,-0.21041051727418,146,1
48,"1981-02-19, 1982-03-22, 1983-04-06, 2000-07-09",0.730699119806978,-0.215596890141978,146,3
49,"1982-04-13, 1982-12-08, 1985-11-08, 2007-07-26",0.724940127454881,-0.183756211573806,146,3
50,"1995-03-05, 2000-01-31, 2001-02-03, 2005-06-05",0.732284799042876,-0.23372945398485,146,0
51,"1988-06-19, 1989-12-13, 1996-07-05, 1999-11-08",0.735060109308135,-0.218167738939248,146,0
52,"1982-02-23, 1983-10-11, 1984-06-26, 2003-01-25",0.724979031696771,-0.176318739411443,146,3
53,"1985-05-27, 1986-03-04, 1989-08-01, 2007-09-11",0.724239227309024,-0.174999589906838,146,2
54,"1982-11-02, 1985-05-21, 1991-07-02, 1997-10-11",0.724578388386578,-0.186538166354492,146,2
55,"1980-11-28, 1982-08-28, 1994-02-09, 1999-11-24",0.734820782998065,-0.224480988190703,146,2
