metric,value
Consumption  λ (regime a),-0.2715
Consumption  λ (regime b),-0.2100
Consumption  λ (regime c),-0.2218
Consumption  ha_y / netw LR (regime a),-0.0273
Consumption  ha_y / netw LR (regime b),0.0462
Consumption  ha_y / netw LR (regime c),0.0336
Consumption  cci coefficient sign (regime a),0.00530 (+)
Consumption  cci coefficient sign (regime b),0.00284 (+)
Consumption  cci coefficient sign (regime c),0.00271 (+)
House price  cci coefficient sign (regime a),-0.01554 (-)
House price  cci coefficient sign (regime b),0.05322 (+)
House price  cci coefficient sign (regime c),0.05180 (+)
Mortgage     cci coefficient sign (regime a),0.00222 (+)
Mortgage     cci coefficient sign (regime b),-0.00871 (-)
Mortgage     cci coefficient sign (regime c),-0.01096 (-)
"SUR rho(eps_C, eps_H)",-0.1197
"SUR rho(eps_C, eps_M)",0.1008
"SUR rho(eps_H, eps_M)",-0.2165
