regime,pair,rho
a_cons_only_cci,C_H,-0.06202858450506101
a_cons_only_cci,C_M,0.057771591028310275
a_cons_only_cci,C_W,0.016222079892602576
a_cons_only_cci,H_M,-0.2602896475923859
a_cons_only_cci,H_W,-0.1952365612735683
a_cons_only_cci,M_W,0.8389035930199834
b_joint_cci_cons_wt,C_H,-0.12038811662659249
b_joint_cci_cons_wt,C_M,0.1020247775064935
b_joint_cci_cons_wt,C_W,0.04822997067129524
b_joint_cci_cons_wt,H_M,-0.2315038210935436
b_joint_cci_cons_wt,H_W,-0.19049597775917781
b_joint_cci_cons_wt,M_W,0.8371783377993925
c_joint_cci_HP_wt,C_H,-0.12038811662659249
c_joint_cci_HP_wt,C_M,0.1020247775064935
c_joint_cci_HP_wt,C_W,0.04822997067129524
c_joint_cci_HP_wt,H_M,-0.2315038210935436
c_joint_cci_HP_wt,H_W,-0.19049597775917781
c_joint_cci_HP_wt,M_W,0.8371783377993925
d_joint_cci_M_wt,C_H,-0.12038811662659747
d_joint_cci_M_wt,C_M,0.10202477750649148
d_joint_cci_M_wt,C_W,0.048229970671292616
d_joint_cci_M_wt,H_M,-0.23150382109347797
d_joint_cci_M_wt,H_W,-0.19049597775911586
d_joint_cci_M_wt,M_W,0.8371783377993941
