Date,HousePriceOld
Jun-1986,61.3
Sep-1986,61.5
Dec-1986,62.2
Mar-1987,62.9
Jun-1987,63.6
Sep-1987,64.7
Dec-1987,67.8
Mar-1988,70.8
Jun-1988,74.6
Sep-1988,81.9
Dec-1988,90.1
Mar-1989,97.4
Jun-1989,99.3
Sep-1989,99.3
Dec-1989,99.6
Mar-1990,100.1
Jun-1990,101.0
Sep-1990,100.1
Dec-1990,100.7
Mar-1991,100.6
Jun-1991,101.8
Sep-1991,104.9
Dec-1991,104.9
Mar-1992,104.2
Jun-1992,104.5
Sep-1992,104.6
Dec-1992,105.6
Mar-1993,106.6
Jun-1993,107.3
Sep-1993,107.4
Dec-1993,108.4
Mar-1994,109.6
Jun-1994,110.9
Sep-1994,112.6
Dec-1994,112.1
Mar-1995,113.2
Jun-1995,112.4
Sep-1995,112.6
Dec-1995,112.4
Mar-1996,112.2
Jun-1996,113.6
Sep-1996,114.0
Dec-1996,114.3
Mar-1997,115.3
Jun-1997,116.8
Sep-1997,118.9
Dec-1997,121.2
Mar-1998,124.2
Jun-1998,126.9
Sep-1998,126.9
Dec-1998,129.0
Mar-1999,131.3
Jun-1999,134.3
Sep-1999,136.8
Dec-1999,141.3
Mar-2000,143.9
Jun-2000,147.3
Sep-2000,147.1
Dec-2000,150.6
Mar-2001,153.9
Jun-2001,159.4
Sep-2001,167.7
Dec-2001,174.0
Mar-2002,180.6
Jun-2002,189.5
Sep-2002,196.7
Dec-2002,206.1
Mar-2003,213.1
Jun-2003,223.8
Sep-2003,231.3
Dec-2003,245.1
Mar-2004,251.3
Jun-2004,252.1
Sep-2004,250.3
Dec-2004,251.7
Mar-2005,252.2
Jun-2005,251.9
